MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ATTRIBUTE_Station	ATTRIBUTE_FilterSize	ATTRIBUTE_Depth	UniqueSubjectID.1	Unnamed: 35	Filter_name	Station	Depth[m]	Feature	Date	FilterSize(um)	Filtercolor	Comment	Labels_metabolomics	Seemsemptyafternegativerun	Ordertoprocess	Jacileastpriority	#Teflonvial	DateExtractionStep1	CommentExtractionStep1	DateExtractionStep2	CommentsExtractionStep2	PPLserial/lot#	DateExtractionStep3	CommentsExtractionStep3	MS_pos_ID	sampleID	Notes for rerunning	ATTRIBUTE_SampleType	Exclude	Category	Filter_size	Category_Filtersize	Category_Station	Category_vol	Filter_size_vol	Category_Filtersize_vol	Category_Station_vol	Deployment	Pump	Note	CombinedGaugeInitial	GFFGaugeInitial[FH#1]	SuporGaugeInitial[FH#2]	CombinedGaugeFinal	GFFGaugeFinal[25000020]	SuporGaugeFinal[25000022]	CombinedGaugeDifference	GFFGaugeDifference	SuporGaugeDifference
MSV000092225	02_2_80.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/15/2018	Mexico	not applicable	17.5|-107.11	-80.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-80.0	MSV000092225_not applicable	02_2_80.mzML	0.2_2_80	2.0	80.0	Oxycline	6/15/2018	0.2	Pea green		ETNP18_filter				4.0	4/26/2023	pea green but maybe more yellow, no spotting and slimy		filter was still fairly yellow-green and slimy after extraction	6636854-02			02_2_80.mzML	02_2_80		2		Surface	0.2	Surface_0.2	Surface_2	Surface	0.2	Surface_0.2	Surface_2	5.0	Horizontal		6843.0	10892.0	3392.0	7060.0	11520.0	3580.0	217.0	628.0	188.0
MSV000092225	02_3_130.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/17/2018	Mexico	not applicable	17|-109	-130.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-130.0	MSV000092225_not applicable	02_3_130.mzML	0.2_3_130	3.0	130.0	Secondary Chl Max	6/17/2018	0.2	Pea green		ETNP18_filter	x	!		5.0	5/11/2023	shiny, pea-green color with some consistent				5/15/2023	may need to be desalinated	02_3_130.mzML	02_3_130		2		AMZ	0.2	AMZ_0.2	AMZ_3	AMZ	0.2	AMZ_0.2	AMZ_3	9.0	Horizontal		7533.0	12673.0	4253.0	7762.0	13382.0	4421.0	229.0	709.0	168.0
MSV000092225	02_3_150.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/17/2018	Mexico	not applicable	17|-110	-150.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-150.0	MSV000092225_not applicable	02_3_150.mzML	0.2_3_150	3.0	150.0	Incubation Expt Depth	6/17/2018	0.2	light pea green	*Irina read these off gauges, did not get final tenth of L	ETNP18_filter	x	!		7.0	4/26/2023	pale yellow-green, slimy, no spotting		roughly 2/3 of final wash was spilled (initial two washes were ok)	6636854-02			02_3_150.mzML	02_3_150		2		AMZ	0.2	AMZ_0.2	AMZ_3	AMZ	0.2	AMZ_0.2	AMZ_3	8.0	Horizontal	*Irina read these off gauges, did not get final tenth of L	7390.0	12370.0	4000.0	7533.0	12673.0	4253.0	143.0	303.0	253.0
MSV000092225	02_3_180.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/17/2018	Mexico	not applicable	17|-111	-180.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-180.0	MSV000092225_not applicable	02_3_180.mzML	0.2_3_180	3.0	180.0	ODZ below the Secondary Chl max	6/17/2018	0.2	pale yellow-brown		ETNP18_filter	x	!		7.0	5/3/2023	extremely faint yellow cover, almost no color change			6636854-02			02_3_180.mzML	02_3_180		2		AMZ	0.2	AMZ_0.2	AMZ_3	AMZ	0.2	AMZ_0.2	AMZ_3	9.0	Vertical		209071.0	139049.0	68518.0	209951.0	139737.0	68697.0	880.0	688.0	179.0
MSV000092225	02_3_20.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/17/2018	Mexico	not applicable	17|-112	-20.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-20.0	MSV000092225_not applicable	02_3_20.mzML	0.2_3_20	3.0	20.0	Surface	6/17/2018	0.2	pale green	*Lost the digital data	ETNP18_filter	x	1		4.0	5/8/2023	consistent cover, pale yellow color			6636854-02	5/10/2023		02_3_20.mzML	02_3_20		2		Surface	0.2	Surface_0.2	Surface_3	Surface	0.2	Surface_0.2	Surface_3	7.0	Horizontal	*Lost the digital data	7193.0	11821.0	3804.0	7390.0	12370.0	4000.0	197.0	549.0	196.0
MSV000092225	02_3_300_B.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/17/2018	Mexico	not applicable	17|-113	-300.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-300.0	MSV000092225_not applicable	02_3_300_B.mzML	0.2_3_300	3.0	300.0	Deep ODZ	6/17/2018	0.2	extremely pale		ETNP18_filter		!		7.0	5/2/2023	almost no residue. very faint yellow color			6636854-02			02_3_300_B.mzML	0.2_3_300	yes	2		AMZ	0.2	AMZ_0.2	AMZ_3	AMZ	0.2	AMZ_0.2	AMZ_3	8.0	Vertical		208608.0	138825.0	68279.0	209071.0	139049.0	68518.0	463.0	224.0	239.0
MSV000092225	02_3_300.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		Mexico	not applicable			not applicable	MSV000092225_not applicable	not applicable	not applicable						MSV000092225_not applicable	02_3_300.mzML	0.2_3_300_empty																				02_3_300.mzML	0.2_3_300_empty	run empty, need to rerun	excluded	exclude																				
MSV000092225	02_3_70_Blank.mzML	blank_analysis	blank_analysis	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/17/2018	Mexico	not applicable			not applicable	MSV000092225_not applicable	not applicable	not applicable						MSV000092225_not applicable	02_3_70_Blank.mzML	0.2_3_70_Blank	3.0	70.0	Primary Chl max	6/17/2018	0.2	bright pea green		ETNP18_filter	x	!		5.0	5/15/2023	very consistent cover, pea-green color				5/16/2023		02_3_70_Blank.mzML	02_3_70_Blank		McLane_Blank		McLane_Blank	0.2_McLane_Filter	0.2_McLane_Filter	0.2_McLane_Filter																
MSV000092225	02_3_70.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/18/2018	Mexico	not applicable	17|-115	-70.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-70.0	MSV000092225_not applicable	02_3_70.mzML	0.2_3_70	3.0	70.0	Primary Chl max	6/18/2018			failed pump, Supor Gauge Difference: 0	ETNP18_filter				4.0	3/9/2023							02_3_70.mzML	02_3_70		2		Surface	0.2	Surface_0.2	Surface_3	Surface	0.2	Surface_0.2	Surface_3	10.0	Horizontal		7762.0	13382.0	4421.0	7914.0	13758.0	4629.0	152.0	376.0	208.0
MSV000092225	02_3_90.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/17/2018	Mexico	not applicable	17|-116	-90.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-90.0	MSV000092225_not applicable	02_3_90.mzML	0.2_3_90	3.0	90.0	Oxycline	6/17/2018	0.2	Pea green		ETNP18_filter	x	!		8.0	5/15/2023	consistent cover, pea-green color				5/16/2023		02_3_90.mzML	02_3_90		2		Surface	0.2	Surface_0.2	Surface_3	Surface	0.2	Surface_0.2	Surface_3	10.0	Vertical		209951.0	139737.0	68697.0	210809.0	140396.0	68890.0	858.0	659.0	193.0
MSV000092225	02_35_10.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/19/2018	Mexico	not applicable	18.5|-108.5	-10.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-10.0	MSV000092225_not applicable	02_35_10.mzML	0.2_3.5_10	3.5	10.0	Primary Chl max	6/19/2018			failed pump, Supor Gauge Difference: 23	ETNP18_filter	x	1	2.0	7.0	3/9/2023							02_35_10.mzML	02_35_10		2		Surface	0.2	Surface_0.2	Surface_3.5																
MSV000092225	02_35_25.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/20/2018	Mexico	not applicable	18.5|-108.6	-25.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-25.0	MSV000092225_not applicable	02_35_25.mzML	0.2_3.5_25	3.5	25.0	Oxycline	6/20/2018	0.2	light green and orangeish		ETNP18_filter		!		8.0	5/11/2023	yellow color, thorough and consistent cover				5/15/2023	a lot of pea-green material left on filter. may need to be desalinated	02_35_25.mzML	02_35_25		2		Surface	0.2	Surface_0.2	Surface_3.5	Surface	0.2	Surface_0.2	Surface_3.5	11.0	Vertical		210809.0	140396.0	68890.0	211633.0	141074.0	69029.0	824.0	678.0	139.0
MSV000092225	02_35_50_x.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/20/2018	Mexico	not applicable	18.5|-108.7	-50.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-50.0	MSV000092225_not applicable	02_35_50_x.mzML	0.2_3.5_50_x	3.5	50.0	Secondary Chl Max	6/20/2018	0.2	grass green		ETNP18_filter	x			7.0	5/8/2023	pea green color, slimy, some buildup			6636854-02	5/10/2023		02_35_50_x.mzML	0.2_3.5_50_x	rerun accidentally, duplicate	duplicate	duplicate	Surface	0.2	Surface_0.2	Surface_3.5	SurfaceorAMZ	0.2	Surface_0.2	Surface_3.5	12.0	Horizontal		7945.0	13851.0	4652.0	8008.0	13950.0	4795.0	63.0	99.0	143.0
MSV000092225	02_35_50.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/20/2018	Mexico	not applicable	18.5|-108.8	-50.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-50.0	MSV000092225_not applicable	02_35_50.mzML	0.2_3.5_50	3.5	50.0	Secondary Chl Max	6/20/2018	0.2	grass green		ETNP18_filter	x			7.0	5/8/2023	pea green color, slimy, some buildup			6636854-02	5/10/2023		02_35_50.mzML	0.2_3.5_50	yes	2		Surface	0.2	Surface_0.2	Surface_3.5	SurfaceorAMZ	0.2	Surface_0.2	Surface_3.5	12.0	Horizontal		7945.0	13851.0	4652.0	8008.0	13950.0	4795.0	63.0	99.0	143.0
MSV000092225	02_35_80.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/20/2018	Mexico	not applicable	18.5|-108.9	-80.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-80.0	MSV000092225_not applicable	02_35_80.mzML	0.2_3.5_80	3.5	80.0	Secondary Nitrite Max	6/20/2018	0.2	pale yellow green		ETNP18_filter	x			1.0	5/16/2023	inconsistent shiny cover, yellow color				5/17/2023	faster than the blank	02_35_80.mzML	02_35_80		2		AMZ	0.2	AMZ_0.2	AMZ_3.5	AMZ	0.2	AMZ_0.2	AMZ_3.5	12.0	Vertical		211633.0	141074.0	69029.0	212499.0	141758.0	69205.0	866.0	684.0	176.0
MSV000092225	3_1_30.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/10/2018	Mexico	not applicable	20|-106.9	-30.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-30.0	MSV000092225_not applicable	3_1_30.mzML	3_1_30	1.0	30.0	Start Oxycline	6/10/2018	3.0	very red		ETNP18_filter				2.0	5/2/2023	dull opaque brown-yellow color			6636854-02			3_1_30.mzML	3_1_30		3		Surface	3	Surface_3	Surface_1	Surface	3.0	Surface_3	Surface_1	1.0	Horizontal		6359.0	9578.0	2854.0	6466.0	9872.0	2969.0	107.0	294.0	115.0
MSV000092225	3_1_300.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/10/2018	Mexico	not applicable	20|-106.10	-300.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-300.0	MSV000092225_not applicable	3_1_300.mzML	3_1_300	1.0	300.0	Deep ODZ	6/10/2018	3.0			ETNP18_filter			3.0	2.0	4/26/2023	light brown/green			6636854-02			3_1_300.mzML	3_1_300		3		AMZ	3	AMZ_3	AMZ_1	AMZ	3.0	AMZ_3	AMZ_1	2.0	Vertical		204160.0	135607.0	67093.0	204799.0	135816.0	67508.0	639.0	209.0	415.0
MSV000092225	3_1_50.mzML	environmental	particulateorganicmatter	not applicable	2023.0	liquid, solid phase extraction (PPL)	methanol (100%)	Sulfadimethoxine-d6	Q Exactive|MS:1001911	electron ionization	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	6/11/2018	Mexico	not applicable	20|-106.11	-50.0	not applicable	MSV000092225_not applicable	not applicable	not applicable	marine biome	particulate organic matter			-50.0	MSV000092225_not applicable	3_1_50.mzML	3_1_50	1.0	50.0	Oxycline finish	6/11/2018	3.0		failed pump, Supor Gauge Difference: 0	ETNP18_filter		1	1.0	2.0	3/9/2023							3_1_50.mzML	3_1_50		3		Surface	3	Surface_3	Surface_1																
