MassiveID	filename	IonizationSourceAndPolarity	Metabolite sample code	NCBITaxonomy	ENVOEnvironmentMaterial	UBERONBodyPartName	BiologicalSex	organism	SampleType	SampleTypeSub1	MassSpectrometer	ChromatographyAndPhase	SampleExtractionMethod
MSV000097146	2096_neg.mzML	electrospray ionization (negative)	2096	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2096_pos.mzML	electrospray ionization (positive)	2096	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2097_neg.mzML	electrospray ionization (negative)	2097	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2097_pos.mzML	electrospray ionization (positive)	2097	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2098_neg.mzML	electrospray ionization (negative)	2098	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	2098_pos.mzML	electrospray ionization (positive)	2098	10090|Mus musculus		femur	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	23_neg.mzML	electrospray ionization (negative)	23	9962|Kobus ellipsiprymnus		mandible			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	23_pos.mzML	electrospray ionization (positive)	23	9962|Kobus ellipsiprymnus		mandible			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	28_neg.mzML	electrospray ionization (negative)	28	9895|Bovidae	fossil material	bone tissue			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	28_pos.mzML	electrospray ionization (positive)	28	9895|Bovidae	fossil material	bone tissue			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	30_neg.mzML	electrospray ionization (negative)	30		sediment				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	30_pos.mzML	electrospray ionization (positive)	30		sediment				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	37_neg.mzML	electrospray ionization (negative)	37	1582484|Saccostomus mearnsi		bone tissue			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	37_pos.mzML	electrospray ionization (positive)	37	1582484|Saccostomus mearnsi		bone tissue			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	38_neg.mzML	electrospray ionization (negative)	38	410297|Gerbilliscus		bone tissue			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	38_pos.mzML	electrospray ionization (positive)	38	410297|Gerbilliscus		bone tissue			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	39_neg.mzML	electrospray ionization (negative)	39	226859|Xerus		maxilla			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	39_pos.mzML	electrospray ionization (positive)	39	226859|Xerus		maxilla			animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	46_neg.mzML	electrospray ionization (negative)	46		dry soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	46_pos.mzML	electrospray ionization (positive)	46		dry soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	47_neg.mzML	electrospray ionization (negative)	47		dry soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	47_pos.mzML	electrospray ionization (positive)	47		dry soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	48_neg.mzML	electrospray ionization (negative)	48		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	48_pos.mzML	electrospray ionization (positive)	48		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	49_neg.mzML	electrospray ionization (negative)	49		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	49_pos.mzML	electrospray ionization (positive)	49		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	50_neg.mzML	electrospray ionization (negative)	50		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	50_pos.mzML	electrospray ionization (positive)	50		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	51_neg.mzML	electrospray ionization (negative)	51		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	51_pos.mzML	electrospray ionization (positive)	51		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	52_neg.mzML	electrospray ionization (negative)	52		animal feed				animal_feed		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	52_pos.mzML	electrospray ionization (positive)	52		animal feed				animal_feed		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	56_neg.mzML	electrospray ionization (negative)	56		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	56_pos.mzML	electrospray ionization (positive)	56		soil				environmental		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	64_neg.mzML	electrospray ionization (negative)	64	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	64_pos.mzML	electrospray ionization (positive)	64	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	65_neg.mzML	electrospray ionization (negative)	65	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	65_pos.mzML	electrospray ionization (positive)	65	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	66_neg.mzML	electrospray ionization (negative)	66	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	66_pos.mzML	electrospray ionization (positive)	66	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	67_neg.mzML	electrospray ionization (negative)	67	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	67_pos.mzML	electrospray ionization (positive)	67	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	68_neg.mzML	electrospray ionization (negative)	68	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	68_pos.mzML	electrospray ionization (positive)	68	10090|Mus musculus		bone tissue	male		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	69_neg.mzML	electrospray ionization (negative)	69	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	69_pos.mzML	electrospray ionization (positive)	69	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	70_neg.mzML	electrospray ionization (negative)	70	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	70_pos.mzML	electrospray ionization (positive)	70	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	71_neg.mzML	electrospray ionization (negative)	71	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	71_pos.mzML	electrospray ionization (positive)	71	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	72_neg.mzML	electrospray ionization (negative)	72	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	72_pos.mzML	electrospray ionization (positive)	72	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	73_neg.mzML	electrospray ionization (negative)	73	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	73_pos.mzML	electrospray ionization (positive)	73	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	74_neg.mzML	electrospray ionization (negative)	74		animal feed				animal_feed		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	74_pos.mzML	electrospray ionization (positive)	74		animal feed				animal_feed		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F_T1_Ez_pos.mzML	electrospray ionization (positive)	F_T1_Ez								Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F_T1-Ez_neg.mzML	electrospray ionization (negative)	F_T1_Ez								Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F_T2_Ez_pos.mzML	electrospray ionization (positive)	F_T2_Ez								Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F_T2-Ez_neg.mzML	electrospray ionization (negative)	F_T2_Ez								Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F_T3a_1_neg.mzML	electrospray ionization (negative)	F_3a1	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F_T3a_1_pos.mzML	electrospray ionization (positive)	F_3a1	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F_T3a_2_neg.mzML	electrospray ionization (negative)	F_T3a_2	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F_T3a_2_pos.mzML	electrospray ionization (positive)	F_T3a_2	10090|Mus musculus		bone tissue	female		animal		Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F1_neg.mzML	electrospray ionization (negative)	F1	1582484|Saccostomus mearnsi	fossil material	jaw skeleton			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F1_pos.mzML	electrospray ionization (positive)	F1	1582484|Saccostomus mearnsi	fossil material	jaw skeleton			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F2_neg.mzML	electrospray ionization (negative)	F2	410297|Gerbilliscus	fossil material	maxilla			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F2_pos.mzML	electrospray ionization (positive)	F2	410297|Gerbilliscus	fossil material	maxilla			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F3_neg.mzML	electrospray ionization (negative)	F3	234690|Xerus inauris	fossil material	bone baterial			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F3_pos.mzML	electrospray ionization (positive)	F3	234690|Xerus inauris	fossil material	bone baterial			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F4_neg.mzML	electrospray ionization (negative)	F4	337687|Muroidea	fossil material	mandible			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
MSV000097146	F4_pos.mzML	electrospray ionization (positive)	F4	337687|Muroidea	fossil material	mandible			animal	fossil	Q Exactive HF-X|MS:1002877	reverse phase (C18)	methanol-water (3:1)
