MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	id
MSV000090950	P1_A11_332_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	332.T16.S	0.982905	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_332.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	10
MSV000090950	P1_A12_323_20.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	323.T20.S	0.999332	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_323.T20.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	11
MSV000090950	P1_B1_302_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	302.T4.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_302.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	12
MSV000090950	P1_B2_307_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	307.T4.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_307.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	13
MSV000090950	P1_B3_322_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	322.T4.S	0.999332	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_322.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	14
MSV000090950	P1_B4_323_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	323.T8.S	0.999332	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_323.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	15
MSV000090950	P1_B5_310_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	310.T8.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_310.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	16
MSV000090950	P1_B6_320_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	320.T12.S	1.065041	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_320.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	17
MSV000090950	P1_B7_325_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	325.T12.S	1.108848	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_325.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	18
MSV000090950	P1_B8_319_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	319.T12.S	1.065041	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_319.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	19
MSV000090950	P1_B9_320_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	320.T16.S	1.065041	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_320.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	20
MSV000090950	P1_B10_304_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	304.T16.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_304.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	21
MSV000090950	P1_B11_314_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	314.T16.S	1.065041	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_314.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	22
MSV000090950	P1_B12_308_20.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	308.T20.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_308.T20.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	23
MSV000090950	P1_C1_321_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	321.T4.S	0.999332	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_321.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	24
MSV000090950	P1_C2_330_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	330.T4.S	1.103372	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_330.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	25
MSV000090950	P1_C3_301_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	301.T4.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_301.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	26
MSV000090950	P1_C4_320_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	320.T8.S	1.065041	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_320.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	27
MSV000090950	P1_C5_322_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	322.T8.S	0.999332	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_322.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	28
MSV000090950	P1_C6_328_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	328.T12.S	1.108848	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_328.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	29
MSV000090950	P1_C7_327_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	327.T12.S	1.108848	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_327.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	30
MSV000090950	P1_C8_329_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	329.T12.S	1.103372	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_329.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	31
MSV000090950	P1_C9_328_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	328.T16.S	1.108848	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_328.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	32
MSV000090950	P1_C10_325_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	325.T16.S	1.108848	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_325.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	33
MSV000090950	P1_C11_319_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	319.T16.S	1.065041	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_319.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	34
MSV000090950	P1_C12_320_20.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	320.T20.S	1.065041	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_320.T20.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	35
MSV000090950	P1_D1_323_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	323.T4.S	0.999332	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_323.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	36
MSV000090950	P1_D2_305_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	305.T4.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_305.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	37
MSV000090950	P1_D3_332_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	332.T4.S	0.982905	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_332.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	38
MSV000090950	P1_D4_328_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	328.T8.S	1.108848	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_328.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	39
MSV000090950	P1_D5_301_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	301.T8.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_301.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	40
MSV000090950	P1_D6_334_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	334.T12.S	1.10611	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_334.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	41
MSV000090950	P1_D7_303_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	303.T12.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_303.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	42
MSV000090950	P1_D8_311_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	311.T12.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_311.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	43
MSV000090950	P1_D9_334_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	334.T16.S	1.10611	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_334.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	44
MSV000090950	P1_D10_327_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	327.T16.S	1.108848	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_327.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	45
MSV000090950	P1_D11_329_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	329.T16.S	1.103372	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_329.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	46
MSV000090950	P1_D12_328_20.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	328.T20.S	1.108848	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_328.T20.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	47
MSV000090950	P1_E1_308_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	308.T4.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_308.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	48
MSV000090950	P1_E2_335_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	335.T4.S	0.89803	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_335.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	49
MSV000090950	P1_E3_314_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	314.T4.S	1.065041	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_314.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	50
MSV000090950	P1_E4_334_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	334.T8.S	1.10611	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_334.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	51
MSV000090950	P1_E5_332_8.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	332.T8.S	0.982905	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_332.T8.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	52
MSV000090950	P1_E6_331_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	331.T12.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_331.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	53
MSV000090950	P1_E7_310_12.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	310.T12.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_310.T12.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	54
MSV000090950	P1_E8_315_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	315.T16.S	1.065041	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_315.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	55
MSV000090950	P1_E9_331_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	331.T16.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_331.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	56
MSV000090950	P1_E10_303_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	303.T16.S	1.136227	male	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_303.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	57
MSV000090950	P1_E11_311_16.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	311.T16.S	1.136227	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_311.T16.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	58
MSV000090950	P1_E12_Blank_1.mzML	blank_analysis	blank_analysis	10090|Mus musculus	2022	not applicable	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not specified	Alzheimer's disease	not specified	not applicable	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_not applicable	not applicable	not applicable	DOID:10652	59
MSV000090950	P1_F1_320_4.mzML	animal	biofluid	10090|Mus musculus	2022	feces	methanol-water (1:1)	sulfamethazine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	320.T4.S	1.065041	female	feces	not applicable	not specified	Alzheimer's disease	not specified	11/27/2021	United States of America	not applicable	not applicable	not applicable	not applicable	MSV000090950_320.T4.S	Infancy (<2 yrs)	UBERON:0001988	DOID:10652	60
