MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	ATTRIBUTE_colonization_strain	ATTRIBUTE_colonization	ATTRIBUTE_strain	ATTRIBUTE_intervention	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex
MSV000096038	CC3xtg_36.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 16	1.25	female	caecum					2020-10-28T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_37.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 51	0.5833333333	female	caecum					2020-11-16T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_38.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 51	0.5833333333	female	caecum					2020-11-16T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_39.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 52	0.5833333333	female	caecum					2020-11-16T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_40.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 52	0.5833333333	female	caecum					2020-11-16T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_41.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 52	0.5833333333	female	caecum					2020-11-16T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_42.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 52	0.5833333333	female	caecum					2020-11-16T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_43.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 56	0.5833333333	female	caecum					2020-11-16T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_44.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 56	0.5833333333	female	caecum					2020-11-16T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_45.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 56	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_46.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 56	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_47.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 57	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_48.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 57	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_49.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 57	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_50.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 50	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_51.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 50	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_52.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 50	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_53.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 50	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_54.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 50	0.5833333333	female	caecum					2020-11-18T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_55.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 53	0.5833333333	female	caecum					2020-11-20T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_56.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 53	0.5833333333	female	caecum					2020-11-20T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_57.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 53	0.5833333333	female	caecum					2020-11-20T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_58.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 53	0.5833333333	female	caecum					2020-11-20T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_59.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 54	0.5833333333	female	caecum					2020-11-20T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_60.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 54	0.5833333333	female	caecum					2020-11-20T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_61.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 54	0.5833333333	female	caecum					2020-11-20T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_62.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 25	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_63.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 25	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_64.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 25	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_65.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 25	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_66.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 25	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_67.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 29	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_68.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 29	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_69.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 29	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_70.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 29	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_71.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 29	1.0	female	caecum					2021-01-25T00:00:00Z	United States of America				GF B6	GF	B6	Sacrifice											
MSV000096038	CC3xtg_72.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 20	1.0	female	caecum					2021-01-27T00:00:00Z	United States of America				SPF 3XTG	SPF	3XTG	Sacrifice											
MSV000096038	CC3xtg_73.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 24	1.0	female	caecum					2021-01-27T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_74.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 24	1.0	female	caecum					2021-01-27T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_75.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 24	1.0	female	caecum					2021-01-27T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_76.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 24	1.0	female	caecum					2021-01-27T00:00:00Z	United States of America				GF 3XTG	GF	3XTG	Sacrifice											
MSV000096038	CC3xtg_77.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 27	1.0	female	caecum					2021-01-27T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_78.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 27	1.0	female	caecum					2021-01-27T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
MSV000096038	CC3xtg_79.mzML	animal	tissue	10090|Mus musculus	2024	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	CAGE 27	1.0	female	caecum					2021-01-27T00:00:00Z	United States of America				SPF B6	SPF	B6	Sacrifice											
