MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	ATTRIBUTE_SampleTypeSub1	ATTRIBUTE_PlantStage	PlantID	ATTRIBUTE_Temperature	ATTRIBUTE_Tank	ENVOEnvironmentBiome.1	ENVOEnvironmentMaterial.1	ENVOEnvironmentBiomeIndex.1	ENVOEnvironmentMaterialIndex.1
MSV000098257	extr016_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3088	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr017_523.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	498	3c	2	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr018_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	522	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr019_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3034	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr020_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3074	6c	6	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr021_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3054	Amb	4	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr022_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3044	3c	2	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr023_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3109	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr024_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3098	6c	6	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr025_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	1033	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr026_000.mzML	blank_extraction	blank_extraction	not applicable	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													blank_extraction	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	
MSV000098257	extr027_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3011	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr028_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3008	3c	5	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr029_006.mzML	reference material	water_artificialseawater	not applicable	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		not applicable													water_artificialseawater	6c	not applicable	6c	6	not applicable	not applicable	not applicable	
MSV000098257	extr030_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3026	6c	6	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr031_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3013	Amb	4	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr032_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3085	6c	6	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr033_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	755	Amb	4	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr034_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	641	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr035_526.mzML	plant	plant_exudates	not applicable	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		not applicable													plant_exudates	Juvenile	674	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr036_523.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	553	3c	2	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr037_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3033	Amb	4	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr038_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3029	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr039_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3075	Amb	4	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr040_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3055	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr041_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3094	3c	2	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr042_516.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3102	6c	6	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr043_526.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	2005	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr044_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	835	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr045_511.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3007	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr046_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	249	Amb	1	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr047_521.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	24	Amb	4	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr048_523.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	299	3c	2	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr049_000.mzML	blank_extraction	blank_extraction	not applicable	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		not applicable													blank_extraction	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	
MSV000098257	extr050_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3083	3c	2	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr051_526.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	392	6c	6	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr052_526.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	514	6c	6	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr053_526.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Juvenile	642	6c	3	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr054_513.mzML	plant	plant_exudates	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_exudates	Adult	3072	3c	5	seagrass bed	root exudates	ENVO:01000059	
MSV000098257	extr056_411.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3007	Amb	1	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr057_416.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3085	6c	6	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr058_421.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Juvenile	24	Amb	4	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr059_413.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3089	3c	5	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr060_413.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3020	3c	2	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr061_413.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3008	3c	5	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr062_413.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3083	3c	2	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr063_416.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3011	6c	3	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr064_413.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3004	3c	2	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr065_421.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Juvenile	755	Amb	4	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr066_416.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3034	6c	3	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr067_000.mzML	blank_extraction	blank_extraction	not applicable	2025	not applicable	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		not applicable													blank_extraction	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	
MSV000098257	extr068_426.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Juvenile	392	6c	6	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr069_416.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3074	6c	6	seagrass bed	rhizosphere	ENVO:01000059	
MSV000098257	extr070_411.mzML	plant	plant_sediments	29655|Zostera marina	2025	solid material, frozen	methanol (100%)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)									9/1/2024	United States of America		38.32782658946015|-123.05718430742778													plant_sediments	Adult	3033	Amb	4	seagrass bed	rhizosphere	ENVO:01000059	
