MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	SampleCollectionDateandTime	Country	LatitudeandLongitude	ATTRIBUTE_tank	ATTRIBUTE_culture	ATTRIBUTE_treat	ATTRIBUTE_pop	ATTRIBUTE_volumeSampled	ATTRIBUTE_batch	ATTRIBUTE_extrNo	ATTRIBUTE_DavisOrganizationNotes	ATTRIBUTE_SPENotes	ATTRIBUTE_DateRun	ATTRIBUTE_SPEStart	ATTRIBUTE_SPEFinish	ATTRIBUTE_dryStart	ATTRIBUTE_dryFinish	ATTRIBUTE_shippingBoxNo
MSV000097940	T1-OG-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-OG-R5	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	OG	100.0	Batch_1	14.0			1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T1-PP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-PP-R5	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	poly	c	PP	65.0	Batch_1	15.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T2-PP-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-PP-R7	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	poly	h	PP	40.0	Batch_1	16.0			1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T5-PP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T5-PP-R5	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5	poly	c	PP	65.0	Batch_1	17.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T1-OG-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-OG-R7	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	OG	70.0	Batch_1	18.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T1-PP-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-PP-R7	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	poly	c	PP	100.0	Batch_1	19.0	EXTRA TUBE REMAINING X2		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T2-BL-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-BL-R7	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	mono	h	BL	100.0	Batch_1	20.0	EXTRA TUBE REMAINING 		1/30/2025	9:00:00 AM	11:15:00 AM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	345.0
MSV000097940	T3-PP-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-PP-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	poly	c	PP	65.0	Batch_2	21.0	EXTRA TUBE REMAINING 	Sample had to be re-drawn and acidified after bc pH strip contaminated sample	1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T6-OG-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-OG-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	mono	h	OG	65.0	Batch_2	22.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T2-BL-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-BL-R3	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	mono	h	BL	100.0	Batch_2	23.0	EXTRA TUBE REMAINING X2		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T2-PP-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-PP-R3	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	poly	h	PP	95.0	Batch_2	24.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T1-BL-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-BL-R5	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	BL	80.0	Batch_2	25.0	EXTRA TUBE REMAINING 	Sample had to be re-drawn and acidified after bc pH strip contaminated sample	1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T1-MP-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-MP-R7	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	MP	65.0	Batch_2	26.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T1-MP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-MP-R5	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	MP	100.0	Batch_2	27.0	EXTRA TUBE REMAINING 	VKR spilled ~500µL of sample	1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T5-MP-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T5-MP-R3	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5	mono	c	MP	100.0	Batch_2	28.0	EXTRA TUBE REMAINING 	Sample had to be re-drawn and acidified after bc pH strip contaminated sample	1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T2-OG-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-OG-R7	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	mono	h	OG	100.0	Batch_2	29.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T3-OG-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-OG-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	mono	c	OG	65.0	Batch_2	30.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T5-OG-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T5-OG-R5	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5	mono	c	OG	100.0	Batch_2	31.0			1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	NA-NA-QC_blank_2.mzML	blank_extraction	blank_extraction		2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	NA-NA-QC_blank_2		United States of America		blank_extraction	blank_extraction	blank_extraction	blank_extraction		Batch_2	32.0			1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T2-MP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-MP-R5	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	mono	h	MP	100.0	Batch_2	33.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T3-MP-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-MP-R7	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	mono	c	MP	100.0	Batch_2	34.0	EXTRA TUBE REMAINING X2		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T2-OG-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-OG-R3	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	mono	h	OG	80.0	Batch_2	35.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T3-MP-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-MP-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	mono	c	MP	65.0	Batch_2	36.0	EXTRA TUBE REMAINING 	KLZ spilled ~500µL	1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T3-PP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-PP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	poly	c	PP	50.0	Batch_2	37.0			1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T6-OG-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-OG-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	mono	h	OG	100.0	Batch_2	38.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T3-OG-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-OG-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	mono	c	OG	130.0	Batch_2	39.0	EXTRA TUBE REMAINING X3	KLZ spilled ~750µL of sample 	1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T3-MP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-MP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	mono	c	MP	80.0	Batch_2	40.0	EXTRA TUBE REMAINING 		1/30/2025	12:49:00 PM	2:21:00 PM	1/30/2025 4:24 PM	1/31/2025 8:45 AM	344.0
MSV000097940	T5-OG-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T5-OG-R3	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5	mono	c	OG	63.0	Batch_3	41.0	EXTRA TUBE REMAINING 	column label was lost so wrote extract number on control label	1/31/2025	8:55:00 AM	10:30:00 AM	1/31/2025 3:30 PM	2/1/2025 9:15 AM	343.0
MSV000097940	T5-BL-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T5-BL-R3	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5	mono	c	BL	85.0	Batch_3	42.0	EXTRA TUBE REMAINING 	column label was lost so wrote extract number on control label	1/31/2025	8:55:00 AM	10:30:00 AM	1/31/2025 3:30 PM	2/1/2025 9:15 AM	343.0
MSV000097940	T3-BL-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T3-BL-R3	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	3	mono	c	BL	65.0	Batch_3	43.0	EXTRA TUBE REMAINING 	column label was lost so wrote extract number on control label	1/31/2025	8:55:00 AM	10:30:00 AM	1/31/2025 3:30 PM	2/1/2025 9:15 AM	343.0
MSV000097940	T1-BL-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-BL-R3	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	BL	80.0	Batch_3	44.0	EXTRA TUBE REMAINING 	column label was lost so wrote extract number on control label	1/31/2025	8:55:00 AM	10:30:00 AM	1/31/2025 3:30 PM	2/1/2025 9:15 AM	343.0
MSV000097940	T6-MP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T6-MP-R5	10/10/2022 8:05:00	United States of America	38.318639832515096|-123.07160615397322	6	mono	h	MP	77.0	Batch_3	45.0	EXTRA TUBE REMAINING 	column label was lost so wrote extract number on control label	1/31/2025	8:55:00 AM	10:30:00 AM	1/31/2025 3:30 PM	2/1/2025 9:15 AM	343.0
MSV000097940	T1-BL-R7.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T1-BL-R7	10/10/2022 8:30:00	United States of America	38.318639832515096|-123.07160615397322	1	mono	c	BL	55.0	Batch_3	46.0	EXTRA TUBE REMAINING 	column label was lost so wrote extract number on control label	1/31/2025	8:55:00 AM	10:30:00 AM	1/31/2025 3:30 PM	2/1/2025 9:15 AM	343.0
MSV000097940	T2-MP-R3.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T2-MP-R3	10/10/2022 9:15:00	United States of America	38.318639832515096|-123.07160615397322	2	mono	h	MP	95.0	Batch_3	47.0	EXTRA TUBE REMAINING X2		1/31/2025	8:55:00 AM	10:30:00 AM	1/31/2025 3:30 PM	2/1/2025 9:15 AM	343.0
MSV000097940	T5-MP-R5.mzML	plant	dissolvedorganicmatter_soil	29655|Zostera marina	2025	liquid, solid phase extraction (PPL)	methanol-water (3:2)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)	T5-MP-R5	10/10/2022 9:25:00	United States of America	38.318639832515096|-123.07160615397322	5	mono	c	MP	100.0	Batch_3	48.0	EXTRA TUBE REMAINING 		1/31/2025	8:55:00 AM	10:30:00 AM	1/31/2025 3:30 PM	2/1/2025 9:15 AM	343.0
