MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	ATTRIBUTE_sample
MSV000097735	Blank_prerun_01.mzML	blank_analysis	blank_analysis	not applicable	2025	liquid	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Blank_prerun_01	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		MSV000097735_Blank_prerun_01	not applicable			not applicable	not applicable		not applicable			Blank
MSV000097735	Blank_prerun_02.mzML	blank_analysis	blank_analysis	not applicable	2025	liquid	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Blank_prerun_02	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		MSV000097735_Blank_prerun_02	not applicable			not applicable	not applicable		not applicable			Blank
MSV000097735	Facsmedia_01.mzML	blank_culturemedia	blank_culturemedia	not applicable	2025	not applicable	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Facsmedia_01	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Facsmedia_01	not applicable			not applicable	not applicable		not applicable			Facsmedia
MSV000097735	Facsmedia_02.mzML	blank_culturemedia	blank_culturemedia	not applicable	2025	not applicable	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Facsmedia_02	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Facsmedia_02	not applicable			not applicable	not applicable		not applicable			Facsmedia
MSV000097735	Pdam200_01.mzML	animal	marine_coral	46731|Pocillopora damicornis	2025	airbrushing	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Pdam200_01	not applicable	not applicable	whole body	not applicable	Healthy	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Pdam200_01	Adult			Species	Invertebrate		Seawater			Pdam200
MSV000097735	Pdam200_02.mzML	animal	marine_coral	46731|Pocillopora damicornis	2025	airbrushing	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Pdam200_02	not applicable	not applicable	whole body	not applicable	Healthy	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Pdam200_02	Adult			Species	Invertebrate		Seawater			Pdam200
MSV000097735	Pdam300_01.mzML	animal	marine_coral	46731|Pocillopora damicornis	2025	airbrushing	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Pdam300_01	not applicable	not applicable	whole body	not applicable	Healthy	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Pdam300_01	Adult			Species	Invertebrate		Seawater			Pdam300
MSV000097735	Pdam300_02.mzML	animal	marine_coral	46731|Pocillopora damicornis	2025	airbrushing	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Pdam300_02	not applicable	not applicable	whole body	not applicable	Healthy	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Pdam300_02	Adult			Species	Invertebrate		Seawater			Pdam300
MSV000097735	Pdam500_01.mzML	animal	marine_coral	46731|Pocillopora damicornis	2025	airbrushing	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Pdam500_01	not applicable	not applicable	whole body	not applicable	Healthy	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Pdam500_01	Adult			Species	Invertebrate		Seawater			Pdam500
MSV000097735	Pdam500_02.mzML	animal	marine_coral	46731|Pocillopora damicornis	2025	airbrushing	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Pdam500_02	not applicable	not applicable	whole body	not applicable	Healthy	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Pdam500_02	Adult			Species	Invertebrate		Seawater			Pdam500
MSV000097735	Pdam1000_01.mzML	animal	marine_coral	46731|Pocillopora damicornis	2025	airbrushing	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Pdam1000_01	not applicable	not applicable	whole body	not applicable	Healthy	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Pdam1000_01	Adult			Species	Invertebrate		Seawater			Pdam1000
MSV000097735	Pdam1000_02.mzML	animal	marine_coral	46731|Pocillopora damicornis	2025	airbrushing	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Pdam1000_02	not applicable	not applicable	whole body	not applicable	Healthy	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Pdam1000_02	Adult			Species	Invertebrate		Seawater			Pdam1000
MSV000097735	PoolQC_01.mzML	reference material	reference material	not applicable	2025	not applicable	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	PoolQC_01	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		MSV000097735_PoolQC_01	not applicable			not applicable	not applicable		not applicable			PoolQC
MSV000097735	PoolQC_02.mzML	reference material	reference material	not applicable	2025	not applicable	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	PoolQC_02	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		MSV000097735_PoolQC_02	not applicable			not applicable	not applicable		not applicable			PoolQC
MSV000097735	PoolQC_03.mzML	reference material	reference material	not applicable	2025	not applicable	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	PoolQC_03	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		MSV000097735_PoolQC_03	not applicable			not applicable	not applicable		not applicable			PoolQC
MSV000097735	QCmix_01.mzML	blank_QC	blank_QC	not applicable	2025	not applicable	methanol-water (4:1)	sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	QCmix_01	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		MSV000097735_QCmix_01	not applicable			not applicable	not applicable		not applicable			QCmix
MSV000097735	QCmix_02.mzML	blank_QC	blank_QC	not applicable	2025	not applicable	methanol-water (4:1)	sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	QCmix_02	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		MSV000097735_QCmix_02	not applicable			not applicable	not applicable		not applicable			QCmix
MSV000097735	QCmix_03.mzML	blank_QC	blank_QC	not applicable	2025	not applicable	methanol-water (4:1)	sulfamethizole;sulfachloropyridazine;sulfadimethoxine;sulfamethazine;coumarin-314;amitryptiline	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	QCmix_03	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable		MSV000097735_QCmix_03	not applicable			not applicable	not applicable		not applicable			QCmix
MSV000097735	Seawater_01.mzML	environmental	water_seawater	not applicable	2025	not applicable	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Seawater_01	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Seawater_01	not applicable			not applicable	not applicable		not applicable			Seawater
MSV000097735	Seawater_02.mzML	environmental	water_seawater	not applicable	2025	not applicable	methanol-water (4:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Seawater_02	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	19/03/2025_11-12 am	United States of America	not applicable	not applicable	not applicable		MSV000097735_Seawater_02	not applicable			not applicable	not applicable		not applicable			Seawater
