MassiveID	filename	SampleType	SampleTypeSub1	YearOfAnalysis	SampleCollectionMethod	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	Unnamed: 9	ENVOEnvironmentMaterial	ENVOEnvironmentBiome	LatitudeandLongitude	DepthorAltitudeMeters
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_1866.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	37.28947|-32.26285	1866
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_21.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine hydrothermal vent biome	37.8462|-31.52013	855
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_24.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	37.8462|-31.52013	841
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_27.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	37.8462|-31.52013	811
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_3.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	36.11645|-26.56137	3762
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_6.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	36.11645|-26.56137	2200
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_646.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	36.2302|-33.90245	2270
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_649.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	36.2302|-33.90245	2100
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_652.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	36.2302|-33.90245	700
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MS170_9.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		sea water	marine biome	36.11645|-26.56137	1200
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_MeOHBlank.mzML	blank_analysis	blank_analysis	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_SystBlank_1.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_SystBlank_2.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_SystCleaning.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_SystPerfMix_1.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_SystPerfMix_2.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_poolQC_1.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_poolQC_2.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_poolQC_3.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_n_poolQC_4.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (negative)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_CondQC_1.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_CondQC_2.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_CondQC_3.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_CondQC_4.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_ExtrBlank_1.mzML	blank_extraction	blank_extraction	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_ExtrBlank_2.mzML	blank_extraction	blank_extraction	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_IS.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_12.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	37.83702|-31.52013	1000
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_147.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine hydrothermal vent biome	37.8439|-31.51903	825
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_15.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	37.83702|-31.52013	800
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_150.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine hydrothermal vent biome	37.8439|-31.51903	825
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_18.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	37.83702|-31.52013	500
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_1866.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine hydrothermal vent biome	37.28947|-32.26285	1866
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_21.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	37.8462|-31.52013	855
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_24.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	37.8462|-31.52013	841
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_27.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	37.8462|-31.52013	811
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_3.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	36.11645|-26.56137	3762
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_6.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	36.11645|-26.56137	2200
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_646.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	36.2302|-33.90245	2270
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_649.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	36.2302|-33.90245	2100
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_652.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	36.2302|-33.90245	700
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MS170_9.mzML	environmental	dissolvedorganicmatter_water_saline	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		sea water	marine biome	36.11645|-26.56137	1200
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_MeOHBlank.mzML	blank_analysis	blank_analysis	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_SystBlank_1.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_SystBlank_2.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_SystPerfMix_1.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_SystPerfMix_2.mzML	molecular_standards	reference material_chemicalstandard	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_poolQC_1.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_poolQC_2.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_poolQC_3.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
MSV000101394	f.MSV000101394/peak/MP_20260116_GnpsSamples_DeepSea_RP25Std_p_poolQC_4.mzML	pool_QC	pool_QC	2026	liquid, solid phase extraction (PPL)	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (C18)		not applicable	not applicable	not applicable	not applicable
