ATTRIBUTE_MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_strain	ATTRIBUTE_strain_name	ATTRIBUTE_country	ATTRIBUTE_substrate	ATTRIBUTE_media
MSV000093329	PLT8_ISP2_B9.mzML	culture_bacterial	culture_bacterial	686309|Micromonospora haikouensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B9	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B9	not specified	not applicable	not applicable	JCM31036	Micromonospora haikouensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B10.mzML	culture_bacterial	culture_bacterial	1870820|Paenibacillus ihbetae	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B10	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B10	not specified	not applicable	not applicable	JCM31131	Paenibacillus ihbetae	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_B11.mzML	culture_bacterial	culture_bacterial	1144618|Allonocardiopsis opalescens	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_B11	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_B11	not specified	not applicable	not applicable	JCM31480	Allonocardiopsis opalescens	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C1.mzML	culture_bacterial	culture_bacterial	598644|Labedaea rhizosphaerae	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C1	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C1	not specified	not applicable	not applicable	JCM31489	Labedaea rhizosphaerae	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C2.mzML	culture_bacterial	culture_bacterial	709883|Micromonospora zamorensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C2	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C2	not specified	not applicable	not applicable	JCM31702	Micromonospora zamorensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C3.mzML	culture_bacterial	culture_bacterial	1090615|Nakamurella panacisegetis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C3	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C3	not specified	not applicable	not applicable	JCM31706	Nakamurella panacisegetis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C4.mzML	culture_bacterial	culture_bacterial	1278207|Micromonospora violae	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C4	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C4	not specified	not applicable	not applicable	JCM31776	Micromonospora violae	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C5.mzML	culture_bacterial	culture_bacterial	1496996|Stackebrandtia endophytica	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C5	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C5	not specified	not applicable	not applicable	JCM31825	Stackebrandtia endophytica	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C6.mzML	culture_bacterial	culture_bacterial	303|Pseudomonas putida	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C6	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C6	not specified	not applicable	not applicable	JCM31910	Pseudomonas putida	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C7.mzML	culture_bacterial	culture_bacterial	1280637|Saccharothrix carnea	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C7	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C7	not specified	not applicable	not applicable	JCM32496	Saccharothrix carnea	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C8.mzML	culture_bacterial	culture_bacterial	1586287|Lentzea guizhouensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C8	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C8	not specified	not applicable	not applicable	JCM33038	Lentzea guizhouensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C9.mzML	culture_bacterial	culture_bacterial	2498113|Jinshanibacter zhutongyuii	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C9	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C9	not specified	not applicable	not applicable	JCM33489	Jinshanibacter zhutongyuii	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C10.mzML	culture_bacterial	culture_bacterial	53972|Rhodococcus corynebacterioides	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C10	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C10	not specified	not applicable	not applicable	JCM3376	Rhodococcus corynebacterioides	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_C11.mzML	culture_bacterial	culture_bacterial	1831|Rhodococcus sp.	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_C11	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_C11	not specified	not applicable	not applicable	JCM6824	Rhodococcus sp.	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D1.mzML	culture_bacterial	culture_bacterial	1831|Rhodococcus sp.	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D1	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D1	not specified	not applicable	not applicable	JCM7475	Rhodococcus sp.	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D2.mzML	culture_bacterial	culture_bacterial	161355|Planomonospora sphaerica	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D2	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D2	not specified	not applicable	not applicable	JCM9374	Planomonospora sphaerica	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D3.mzML	culture_bacterial	culture_bacterial	60894|Saccharopolyspora spinosa	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D3	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D3	not specified	not applicable	not applicable	JCM9375	Saccharopolyspora spinosa	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D4.mzML	culture_bacterial	culture_bacterial	37919|Rhodococcus opacus	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D4	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D4	not specified	not applicable	not applicable	JCM9703	Rhodococcus opacus	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D5.mzML	culture_bacterial	culture_bacterial	28094|Trinickia caryophylli	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D5	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D5	not specified	not applicable	not applicable	JCM10488	Trinickia caryophylli	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D6.mzML	culture_bacterial	culture_bacterial	58172|Paenibacillus sp.	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D6	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D6	not specified	not applicable	not applicable	JCM10914	Paenibacillus sp.	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D7.mzML	culture_bacterial	culture_bacterial	135193|Paenibacillus daejeonensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D7	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D7	not specified	not applicable	not applicable	JCM11236	Paenibacillus daejeonensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D8.mzML	culture_bacterial	culture_bacterial	82541|Cupriavidus gilardii	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D8	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D8	not specified	not applicable	not applicable	JCM11283	Cupriavidus gilardii	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D9.mzML	culture_bacterial	culture_bacterial	96344|Cupriavidus oxalaticus	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D9	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D9	not specified	not applicable	not applicable	JCM11285	Cupriavidus oxalaticus	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D10.mzML	culture_bacterial	culture_bacterial	189381|Rossellomorea marisflavi	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D10	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D10	not specified	not applicable	not applicable	JCM11544	Rossellomorea marisflavi	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_D11.mzML	culture_bacterial	culture_bacterial	76760|Pseudomonas rhodesiae	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_D11	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_D11	not specified	not applicable	not applicable	JCM11940	Pseudomonas rhodesiae	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_E1.mzML	culture_bacterial	culture_bacterial	|Priestia endophyticus	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_E1	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_E1	not specified	not applicable	not applicable	JCM12211	Priestia endophyticus	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_E2.mzML	culture_bacterial	culture_bacterial	119858|Bacillus sonorensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_E2	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_E2	not specified	not applicable	not applicable	JCM12232	Bacillus sonorensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_E3.mzML	culture_bacterial	culture_bacterial	311244|Paenibacillus assamensis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_E3	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_E3	not specified	not applicable	not applicable	JCM13186	Paenibacillus assamensis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_E4.mzML	culture_bacterial	culture_bacterial	53408|Pseudomonas citronellolis	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_E4	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_E4	not specified	not applicable	not applicable	JCM13426	Pseudomonas citronellolis	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_E5.mzML	culture_bacterial	culture_bacterial	388278|Photobacterium lutimaris	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_E5	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_E5	not specified	not applicable	not applicable	JCM13586	Photobacterium lutimaris	not specified	not specified	ISP-2
MSV000093329	PLT8_ISP2_E6.mzML	culture_bacterial	culture_bacterial	303|Pseudomonas putida	2023	solid material, dried	methanol (100%)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	PLT8_ISP2_E6	not specified	not specified	not specified	not specified	not specified	not specified	not specified	09/11/2023 - 09/23/2023	United States of America	not specified	not specified	not specified	not specified	MSV000093329_PLT8_ISP2_E6	not specified	not applicable	not applicable	JCM14351	Pseudomonas putida	not specified	not specified	ISP-2
