MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	ATTRIBUTE_Microbiome	ATTRIBUTE_Tryptophan_diet_status	ATTRIBUTE_Tryptophan_diet_percentage	ATTRIBUTE_Cumulative_Disease_Score	ATTRIBUTE_EAE_induction	ATTRIBUTE_HealthStatus_explained
MSV000092661	BLANK_2.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_3.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_4.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_5.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_6.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_7.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_8.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	BLANK_9.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	P1_A1_529.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	529	0.023875	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_529	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	8	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A10_2924.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2924	0.025049	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2924	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	3	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A11_517.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	517	0.023875	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_517	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A12_A12_Blank_IM.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	not applicable	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	P1_A2_519.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	519	0.023875	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_519	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A3_535.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	535	0.021526	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_535	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A4_520.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	520	0.021526	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_520	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A5_525.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	525	0.028963	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_525	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	2.5	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A6_2919.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2919	0.024658	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2919	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	18.5	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A7_2926.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2926	0.024658	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2926	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A8_2927.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2927	0.024658	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2927	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_A9_2915.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2915	0.025049	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2915	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	8.5	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B1_518.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	518	0.023875	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_518	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	36	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B10_2929.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2929	0.024658	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2929	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B11_2925.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2925	0.025049	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2925	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	14	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B12_B12_Blank_IM.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	P1_B2_536.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	536	0.021526	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_536	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B3_537.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	537	0.021526	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_537	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	26.5	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B4_522.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	522	0.021526	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_522	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	7.5	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B5_526.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	526	0.028963	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_526	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	27	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B6_527.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	527	0.028963	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_527	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	43	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B7_528.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	528	0.028963	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_528	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	33	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B8_2921.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2921	0.024658	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2921	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	39.5	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_B9_2928.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2928	0.024658	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2928	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	HIGH	0.8	41	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C1_538.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	538	0.027397	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_538	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C10_2946.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2946	0.022309	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2946	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C11_540.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	540	0.027397	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_540	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	HIGH	0.8	21	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C12_C12_Blank_IM.mzML	blank_analysis	not applicable	not applicable	2023	not applicable	ML import: not available	ML import: not available	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	ML import: not available	not applicable		not applicable	not applicable	not applicable	not applicable	not applicable	MSV000092661_not applicable	not applicable	not applicable	ML import: not available	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000092661	P1_C2_539.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	539	0.027397	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_539	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C3_544.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	544	0.027397	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_544	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C4_553.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	553	0.027397	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_553	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	29	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C5_554.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	554	0.027397	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_554	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	25	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C6_2930.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2930	0.036791	male	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2930	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6)	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C7_2941.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2941	0.032094	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2941	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C8_2944.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2944	0.022309	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2944	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
MSV000092661	P1_C9_2945.mzML	animal	biofluid	10090|Mus musculus	2023	blood NOS	methanol-water (1:1)	sulfadimethoxine	Q Exactive|MS:1001911	electrospray ionization (positive)	reverse phase (C18)	2945	0.022309	female	blood serum	not applicable	unhealthy (NOS)	ML import: not available	not applicable		United States of America	not applicable	not applicable	not applicable	not applicable	MSV000092661_2945	Infancy (<2 yrs)	UBERON:0001977	ML import: not available	C57BL/6J (B6) + Limosilactobacillus reuteri	LOW	0.02	0	30 days post-EAE induction	CNS autoimmunity
