MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	Country	LatitudeandLongitude	DepthorAltitudeMeters	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	NCBIRank	NCBIDivision
MSV000089502	AC_EM_A4_32_05mgmL_inj2_BA4_1_2194.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A4_32_05mgmL_inj3_BA4_1_2207.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A4_48_05mgmL_inj1_BA8_1_2191.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A4_48_05mgmL_inj2_BA8_1_2195.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A4_48_05mgmL_inj3_BA8_1_2205.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_16_05mgmL_inj1_BA3_1_2185.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_16_05mgmL_inj2_BA3_1_2196.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_16_05mgmL_inj3_BA3_1_2208.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_32_05mgmL_inj1_BA7_1_2189.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_32_05mgmL_inj2_BA7_1_2198.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_32_05mgmL_inj3_BA7_1_2206.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_48_05mgmL_inj1_BB1_1_2192.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_48_05mgmL_inj2_BB1_1_2199.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_EM_A8_48_05mgmL_inj3_BB1_1_2203.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_16_05mgmL_inj1_BB7_1_2217.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_16_05mgmL_inj2_BB7_1_2224.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_16_05mgmL_inj3_BB7_1_2238.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_32_05mgmL_inj1_BB3_1_2213.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_32_05mgmL_inj2_BB3_1_2226.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_32_05mgmL_inj3_BB3_1_2234.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_48_05mgmL_inj1_BB5_1_2215.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_48_05mgmL_inj2_BB5_1_2227.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A3_48_05mgmL_inj3_BB5_1_2230.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_16_05mgmL_inj1_BB2_1_2212.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_16_05mgmL_inj2_BB2_1_2221.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_16_05mgmL_inj3_BB2_1_2237.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_32_05mgmL_inj1_BB6_1_2216.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_32_05mgmL_inj2_BB6_1_2222.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_32_05mgmL_inj3_BB6_1_2233.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_48_05mgmL_inj1_BB8_1_2219.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_48_05mgmL_inj2_BB8_1_2223.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	AC_CTRL_A7_48_05mgmL_inj3_BB8_1_2231.mzXML	environmental	water_seawater	121477|Aplysina cavernicola	2022	liquid, solid phase extraction (polymeric resin)	methanol (100%)	impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France	43.28|5.349166666666667	-2.0	marine pelagic biome	sea water			Environmental samples
MSV000089502	POOL_10_BA1_1_2183.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							Environmental samples
MSV000089502	POOL_11_BA1_1_2190.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_12_BA1_1_2197.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_13_BA1_1_2204.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_14_BA1_1_2211.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_15_BA1_1_2218.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_16_BA1_1_2225.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_17_BA1_1_2232.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_18_BA1_1_2239.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_19_BA1_1_2246.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	POOL_20_BA1_1_2247.mzXML			121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	3,5L_Dibromotyrosine_005mgm_50-1200_RA3_01_22227.mzXML	reference material	reference material_chemicalstandard	121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	Aerophobin1_005mgmL_50-1200_RD2_01_21960.mzXML	reference material	marine_invertebrates	121477|Aplysina cavernicola	2022	extract, solid phase extraction (C18)		impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	Aerophobin2_005mgmL_50-1200_RD4_01_21962.mzXML	reference material	marine_invertebrates	121477|Aplysina cavernicola	2022	extract, solid phase extraction (C18)		impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	Aerothionin_005mgmL_50-1200_RD7_01_21965.mzXML	reference material	marine_invertebrates	121477|Aplysina cavernicola	2022	extract, solid phase extraction (C18)		impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	AplysinamisineI_005mgmL_50-1200_RD5_01_21963.mzXML	reference material	marine_invertebrates	121477|Aplysina cavernicola	2022	extract, solid phase extraction (C18)		impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	Aplysine1_005mgmL_50-1200_RD1_01_21959.mzXML	reference material	marine_invertebrates	121477|Aplysina cavernicola	2022	extract, solid phase extraction (C18)		impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	PurealidinJ_005mgmL_50-1200_RD6_01_21964.mzXML	reference material	marine_invertebrates	121477|Aplysina cavernicola	2022	extract, solid phase extraction (C18)		impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	PurealidinL_005mgmL_50-1200_RD3_01_21961.mzXML	reference material	marine_invertebrates	121477|Aplysina cavernicola	2022	extract, solid phase extraction (C18)		impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	aeroplysinin1_H2O_005mgmL_50-1200_RC4_01_23690.mzXML	reference material	reference material_chemicalstandard	121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	MeOH_4_RA1_1_2172.mzXML	blank_analysis	blank_analysis	121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	MeOH_5_RA1_1_2173.mzXML	blank_analysis	blank_analysis	121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
MSV000089502	MeOH_6_RA1_1_2248.mzXML	blank_analysis	blank_analysis	121477|Aplysina cavernicola	2022			impact II|MS:1002666	electrospray ionization (positive)	reverse phase (polar-C18)	France							
