MassiveID	filename	ATTRIBUTE_Strain	ATTRIBUTE_YnpID	ATTRIBUTE_Date	ATTRIBUTE_Method	ATTRIBUTE_Mode	ATTRIBUTE_ExperimentID	ATTRIBUTE_Genus	ATTRIBUTE_Media	ATTRIBUTE_CultureFormat	ATTRIBUTE_IncubationDays	NCBIGenome	NCBITaxonomy	SampleType	SampleTypeSub1	MassSpectrometer	IonizationSourceAndPolarity	SampleCollectionDateandTime
MSV000099370	Cordyceps_ophioglossoides_DSM_1208_YNP73_20220803_UMETAB_C18_NEG_Sample_60.mzXML	Cordyceps_ophioglossoides_DSM_1208	YNP73	20220803	Cyclosporin	NEG	60	Cordyceps	SSM static	shake flask	16	GCA_051528855.1	71617|Tolypocladium ophioglossoides	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_sp_D1_YNP_YNP16_20220803_UMETAB_C18_NEG_Sample_61.mzXML	Cordyceps_sp_D1	YNP16	20220803	Cyclosporin	NEG	61	Cordyceps	commercial sample etoh	plate	23	GCA_051527835.1	3120200|Cordyceps sp. D1	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Cordyceps_sp_D1_YNP_YNP16_20220803_UMETAB_C18_NEG_Sample_62.mzXML	Cordyceps_sp_D1	YNP16	20220803	Cyclosporin	NEG	62	Cordyceps	commercial sample dryed	plate	23	GCA_051527835.1	3120200|Cordyceps sp. D1	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	8/3/2022
MSV000099370	Beauveria_caledonica_YNP9_20230301_Ac-C18_NEG_UMETAB315_301_A2.mzXML	Beauveria_caledonica	YNP9	20230301	Ac-C18	NEG	301	Beauveria	PDA	plate	14		38006|Beauveria caledonica	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Xylaria_digitata_DSM914_YNP62_20230301_Ac-C18_NEG_UMETAB315_309_A10.mzXML	Xylaria_digitata_DSM914	YNP62	20230301	Ac-C18	NEG	309	Xylaria	MEA	plate	14	GCA_051529095.1	323540|Xylaria digitata	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Xylaria_digitata_DSM914_YNP62_20230301_Ac-C18_NEG_UMETAB315_318_B7.mzXML	Xylaria_digitata_DSM914	YNP62	20230301	Ac-C18	NEG	318	Xylaria	CMA	plate	14	GCA_051529095.1	323540|Xylaria digitata	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Xylaria_digitata_DSM914_YNP62_20230301_Ac-C18_NEG_UMETAB315_319_B8.mzXML	Xylaria_digitata_DSM914	YNP62	20230301	Ac-C18	NEG	319	Xylaria	MEA	plate	14	GCA_051529095.1	323540|Xylaria digitata	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Xylaria_digitata_DSM914_YNP62_20230301_Ac-C18_NEG_UMETAB315_322_B11.mzXML	Xylaria_digitata_DSM914	YNP62	20230301	Ac-C18	NEG	322	Xylaria	MEA	plate	14	GCA_051529095.1	323540|Xylaria digitata	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Tolypocladium_inflatum_DSM_63544_YNP26_20230301_Ac-C18_NEG_UMETAB315_323A_B12.mzXML	Tolypocladium_inflatum_DSM_63544	YNP26	20230301	Ac-C18	NEG	323	Tolypocladium	CMA	plate	14	GCA_051527635.1	29910|Tolypocladium inflatum	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Tolypocladium_inflatum_DSM_63544_YNP26_20230301_Ac-C18_NEG_UMETAB315_324A_C1.mzXML	Tolypocladium_inflatum_DSM_63544	YNP26	20230301	Ac-C18	NEG	324	Tolypocladium	MEA	plate	14	GCA_051527635.1	29910|Tolypocladium inflatum	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Trichoderma_atroviride_CBS_122147_YNP24_20230301_Ac-C18_NEG_UMETAB315_325A_C2.mzXML	Trichoderma_atroviride_CBS_122147	YNP24	20230301	Ac-C18	NEG	325	Trichoderma	CMA	plate	14	GCA_051527675.1	63577|Trichoderma atroviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Trichoderma_atroviride_CBS_122147_YNP24_20230301_Ac-C18_NEG_UMETAB315_326A_C3.mzXML	Trichoderma_atroviride_CBS_122147	YNP24	20230301	Ac-C18	NEG	326	Trichoderma	MEA	plate	14	GCA_051527675.1	63577|Trichoderma atroviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Trichoderma_atroviride_CBS_122147_YNP24_20230301_Ac-C18_NEG_UMETAB315_330A_C7.mzXML	Trichoderma_atroviride_CBS_122147	YNP24	20230301	Ac-C18	NEG	330	Trichoderma	MEA	plate	14	GCA_051527675.1	63577|Trichoderma atroviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Trichoderma_atroviride_CBS_122147_YNP24_20230301_Ac-C18_NEG_UMETAB315_331_C8.mzXML	Trichoderma_atroviride_CBS_122147	YNP24	20230301	Ac-C18	NEG	331	Trichoderma	CMA	plate	14	GCA_051527675.1	63577|Trichoderma atroviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Xylaria_longipes_DSM_107022_YNP92_20230301_Ac-C18_NEG_UMETAB315_332_C9.mzXML	Xylaria_longipes_DSM_107022	YNP92	20230301	Ac-C18	NEG	332	Xylaria	MEA	plate	14	GCA_051528455.1	114818|Xylaria longipes	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Xylaria_longipes_DSM_107022_YNP92_20230301_Ac-C18_NEG_UMETAB315_333_C10.mzXML	Xylaria_longipes_DSM_107022	YNP92	20230301	Ac-C18	NEG	333	Xylaria	CMA	plate	14	GCA_051528455.1	114818|Xylaria longipes	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Torrubiella_piperis_MB_500023_YNP61_20230301_Ac-C18_NEG_UMETAB315_339_D4.mzXML	Torrubiella_piperis_MB_500023	YNP61	20230301	Ac-C18	NEG	339	Torrubiella	CMA	plate	14	GCA_051529115.1	264482|Neohyperdermium piperis	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Torrubiella_piperis_MB_500023_YNP61_20230301_Ac-C18_NEG_UMETAB315_340_D5.mzXML	Torrubiella_piperis_MB_500023	YNP61	20230301	Ac-C18	NEG	340	Torrubiella	MEA	plate	14	GCA_051529115.1	264482|Neohyperdermium piperis	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Torrubiella_piperis_MB_500023_YNP61_20230301_Ac-C18_NEG_UMETAB315_341_D6.mzXML	Torrubiella_piperis_MB_500023	YNP61	20230301	Ac-C18	NEG	341	Torrubiella	PDA	plate	14	GCA_051529115.1	264482|Neohyperdermium piperis	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Epichole_typhina_MB165057_YNP37_20230301_Ac-C18_NEG_UMETAB315_351A_E4.mzML	Epichole_typhina_MB165057	YNP37	20230301	Ac-C18	NEG	351	Epichole	CMA	plate	14	GCA_051527435.1	2943579|Typhina	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Epichole_typhina_MB165057_YNP37_20230301_Ac-C18_NEG_UMETAB315_351A_E4.mzXML	Epichole_typhina_MB165057	YNP37	20230301	Ac-C18	NEG	351	Epichole	CMA	plate	14	GCA_051527435.1	2943579|Typhina	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Epichole_typhina_MB165057_YNP37_20230301_Ac-C18_NEG_UMETAB315_352A_E5.mzXML	Epichole_typhina_MB165057	YNP37	20230301	Ac-C18	NEG	352	Epichole	PDA	plate	14	GCA_051527435.1	2943579|Typhina	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Ophiocordyceps_aphodi_MB504221_YNP81_20230301_Ac-C18_NEG_UMETAB315_353A_E6.mzXML	Ophiocordyceps_aphodi_MB504221	YNP81	20230301	Ac-C18	NEG	353	Ophiocordyceps	CMA	plate	14	GCA_051528675.1	474995|Ophiocordyceps	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Ophiocordyceps_aphodi_MB504221_YNP81_20230301_Ac-C18_NEG_UMETAB315_354_E7.mzXML	Ophiocordyceps_aphodi_MB504221	YNP81	20230301	Ac-C18	NEG	354	Ophiocordyceps	CMA	plate	14	GCA_051528675.1	474995|Ophiocordyceps	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G77_YNP77_20230301_Ac-C18_NEG_UMETAB315_355_E8.mzXML	Sarocladium_G77	YNP77	20230301	Ac-C18	NEG	355	Sarocladium	CMA	plate	14	GCA_051528815.1	284134|Sarocladium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G77_YNP77_20230301_Ac-C18_NEG_UMETAB315_356_E9.mzXML	Sarocladium_G77	YNP77	20230301	Ac-C18	NEG	356	Sarocladium	PDA	plate	14	GCA_051528815.1	284134|Sarocladium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G77_YNP77_20230301_Ac-C18_NEG_UMETAB315_357_E10.mzXML	Sarocladium_G77	YNP77	20230301	Ac-C18	NEG	357	Sarocladium	MEA	plate	14	GCA_051528815.1	284134|Sarocladium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Metarhizium_flavoviride_IHEM_3994_YNP22_20230301_Ac-C18_NEG_UMETAB315_358_E11.mzXML	Metarhizium_flavoviride_IHEM_3994	YNP22	20230301	Ac-C18	NEG	358	Metarhizium	MEA	plate	14	GCA_051527725.1	92630|Metarhizium flavoviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Metarhizium_flavoviride_IHEM_3994_YNP22_20230301_Ac-C18_NEG_UMETAB315_360_F1.mzXML	Metarhizium_flavoviride_IHEM_3994	YNP22	20230301	Ac-C18	NEG	360	Metarhizium	MEA	plate	14	GCA_051527725.1	92630|Metarhizium flavoviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Epichole_typhina_MB165057_YNP37_20230301_Ac-C18_NEG_UMETAB315_369_F10.mzML	Epichole_typhina_MB165057	YNP37	20230301	Ac-C18	NEG	369	Epichole	MEA	plate	14	GCA_051527435.1	2943579|Typhina	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Ophiocordyceps_aphodi_MB504221_YNP81_20230301_Ac-C18_NEG_UMETAB315_370_F11.mzXML	Ophiocordyceps_aphodi_MB504221	YNP81	20230301	Ac-C18	NEG	370	Ophiocordyceps	MEA	plate	14	GCA_051528675.1	474995|Ophiocordyceps	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G77_YNP77_20230301_Ac-C18_NEG_UMETAB315_371_F12.mzXML	Sarocladium_G77	YNP77	20230301	Ac-C18	NEG	371	Sarocladium	MEA	plate	14	GCA_051528815.1	284134|Sarocladium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G77_YNP77_20230301_Ac-C18_NEG_UMETAB315_372_G1.mzXML	Sarocladium_G77	YNP77	20230301	Ac-C18	NEG	372	Sarocladium	MEA	plate	14	GCA_051528815.1	284134|Sarocladium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G77_YNP77_20230301_Ac-C18_NEG_UMETAB315_373_G2.mzXML	Sarocladium_G77	YNP77	20230301	Ac-C18	NEG	373	Sarocladium	CMA	plate	14	GCA_051528815.1	284134|Sarocladium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G79_YNP38_20230301_Ac-C18_NEG_UMETAB315_374_G3.mzXML	Sarocladium_G79	YNP38	20230301	Ac-C18	NEG	374	Sarocladium	CMA	plate	14		1949222|Scedosporium rarisporum	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G79_YNP38_20230301_Ac-C18_NEG_UMETAB315_375_G4.mzXML	Sarocladium_G79	YNP38	20230301	Ac-C18	NEG	375	Sarocladium	PDA	plate	14		1949222|Scedosporium rarisporum	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G79_YNP38_20230301_Ac-C18_NEG_UMETAB315_376_G5.mzXML	Sarocladium_G79	YNP38	20230301	Ac-C18	NEG	376	Sarocladium	MEA	plate	14		1949222|Scedosporium rarisporum	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Trichoderma_atroviride_CBS_122147_YNP24_20230301_Ac-C18_NEG_UMETAB315_380_G9.mzXML	Trichoderma_atroviride_CBS_122147	YNP24	20230301	Ac-C18	NEG	380	Trichoderma	CMA	plate	14	GCA_051527675.1	63577|Trichoderma atroviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Trichoderma_atroviride_CBS_122147_YNP24_20230301_Ac-C18_NEG_UMETAB315_381_G10.mzXML	Trichoderma_atroviride_CBS_122147	YNP24	20230301	Ac-C18	NEG	381	Trichoderma	MEA	plate	14	GCA_051527675.1	63577|Trichoderma atroviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Trichoderma_atroviride_CBS_122147_YNP24_20230301_Ac-C18_NEG_UMETAB315_385_H2.mzXML	Trichoderma_atroviride_CBS_122147	YNP24	20230301	Ac-C18	NEG	385	Trichoderma	CMA	plate	14	GCA_051527675.1	63577|Trichoderma atroviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Akanthomyces_lecani_DSM_111009_YNP1_20230301_Ac-C18_NEG_UMETAB315_387_H4.mzXML	Akanthomyces_lecani_DSM_111009	YNP1	20230301	Ac-C18	NEG	387	Akanthomyces	CMA	plate	14	GCA_051527755.1	150366|Akanthomyces	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Beauveria_bassiana_IHEM_3558_YNP66_20230301_Ac-C18_NEG_UMETAB316_396_B1.mzXML	Beauveria_bassiana_IHEM_3558	YNP66	20230301	Ac-C18	NEG	396	Beauveria	CMA	plate	14	GCA_051529035.1	176275|Beauveria bassiana	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Beauveria_bassiana_IHEM_3558_YNP66_20230301_Ac-C18_NEG_UMETAB316_397_B2.mzXML	Beauveria_bassiana_IHEM_3558	YNP66	20230301	Ac-C18	NEG	397	Beauveria	PDA	plate	14	GCA_051529035.1	176275|Beauveria bassiana	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G79_YNP38_20230301_Ac-C18_NEG_UMETAB316_401_B6.mzML	Sarocladium_G79	YNP38	20230301	Ac-C18	NEG	401	Sarocladium	MEA	plate	14		1949222|Scedosporium rarisporum	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G79_YNP38_20230301_Ac-C18_NEG_UMETAB316_402_B7.mzML	Sarocladium_G79	YNP38	20230301	Ac-C18	NEG	402	Sarocladium	CMA	plate	14		1949222|Scedosporium rarisporum	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Sarocladium_G79_YNP38_20230301_Ac-C18_NEG_UMETAB316_403_B8.mzML	Sarocladium_G79	YNP38	20230301	Ac-C18	NEG	403	Sarocladium	PDA	plate	14		1949222|Scedosporium rarisporum	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Fusarium_G74_YNP19_20230301_Ac-C18_NEG_UMETAB316_404_B9.mzML	Fusarium_G74	YNP19	20230301	Ac-C18	NEG	404	Fusarium	MEA	plate	14	GCA_051527775.1	5506|Fusarium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Fusarium_G74_YNP19_20230301_Ac-C18_NEG_UMETAB316_405_C1.mzML	Fusarium_G74	YNP19	20230301	Ac-C18	NEG	405	Fusarium	PDA	plate	14	GCA_051527775.1	5506|Fusarium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Fusarium_G74_YNP19_20230301_Ac-C18_NEG_UMETAB316_406_C2.mzML	Fusarium_G74	YNP19	20230301	Ac-C18	NEG	406	Fusarium	CMA	plate	14	GCA_051527775.1	5506|Fusarium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	3/1/2023
MSV000099370	Lecanicillium_dimorphum_MUCL_29914_YNP39_20230512_Ac-C18_NEG_UMETAB332_521A_C5.mzXML	Lecanicillium_dimorphum_MUCL_29914	YNP39	20230512	Ac-C18	NEG	521	Lecanicillium	PD	24-well	10		132583|Corniculantispora dimorpha	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Simplicilium_lanosoniveum_56433_YNP60_20230512_Ac-C18_NEG_UMETAB332_523A_C7.mzXML	Simplicilium_lanosoniveum_56433	YNP60	20230512	Ac-C18	NEG	523	Simplicilium	PD	24-well	10	GCA_051529135.1		fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Simplicillium_lamellicola_MUCL_9740_YNP56_20230512_Ac-C18_NEG_UMETAB333_589A_A1.mzXML	Simplicillium_lamellicola_MUCL_9740	YNP56	20230512	Ac-C18	NEG	589	Simplicillium	MEA	plate	14	GCA_051529255.1	93593|Simplicillium lamellicola	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Simplicillium_lamellicola_MUCL_9740_YNP56_20230512_Ac-C18_NEG_UMETAB333_590A_A2.mzXML	Simplicillium_lamellicola_MUCL_9740	YNP56	20230512	Ac-C18	NEG	590	Simplicillium	PDA	plate	14	GCA_051529255.1	93593|Simplicillium lamellicola	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Metarhizium_anisopliae_MUCL_9815_YNP48_20230512_Ac-C18_NEG_UMETAB333_591A_A3.mzXML	Metarhizium_anisopliae_MUCL_9815	YNP48	20230512	Ac-C18	NEG	591	Metarhizium	MEA	plate	14		5530|Metarhizium anisopliae	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Metarhizium_bulbilosa_MUCL_34289_YNP46_20230512_Ac-C18_NEG_UMETAB333_592A_A4.mzXML	Metarhizium_bulbilosa_MUCL_34289	YNP46	20230512	Ac-C18	NEG	592	Metarhizium	CMA	plate	14	GCA_051529395.1	5529|Metarhizium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Metarhizium_bulbilosa_MUCL_34289_YNP46_20230512_Ac-C18_NEG_UMETAB333_593A_A5.mzXML	Metarhizium_bulbilosa_MUCL_34289	YNP46	20230512	Ac-C18	NEG	593	Metarhizium	MEA	plate	14	GCA_051529395.1	5529|Metarhizium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Metarhizium_bulbilosa_MUCL_34289_YNP46_20230512_Ac-C18_NEG_UMETAB333_594A_A6.mzXML	Metarhizium_bulbilosa_MUCL_34289	YNP46	20230512	Ac-C18	NEG	594	Metarhizium	PDA	plate	14	GCA_051529395.1	5529|Metarhizium	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Metarhizium_anisopliae_MUCL_9815_YNP48_20230512_Ac-C18_NEG_UMETAB333_595A_A7.mzXML	Metarhizium_anisopliae_MUCL_9815	YNP48	20230512	Ac-C18	NEG	595	Metarhizium	PDA	plate	14		5530|Metarhizium anisopliae	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Simplicillium_lamellicola_MUCL_9740_YNP56_20230512_Ac-C18_NEG_UMETAB333_597A_A9.mzXML	Simplicillium_lamellicola_MUCL_9740	YNP56	20230512	Ac-C18	NEG	597	Simplicillium	CMA	plate	14	GCA_051529255.1	93593|Simplicillium lamellicola	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Metarhizium_flavoviride_DSM_11337_YNP51_20230512_Ac-C18_NEG_UMETAB333_600A_A12.mzXML	Metarhizium_flavoviride_DSM_11337	YNP51	20230512	Ac-C18	NEG	600	Metarhizium	MEA	plate	14	GCA_051529335.1	92630|Metarhizium flavoviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Metarhizium_flavoviride_DSM_11337_YNP51_20230512_Ac-C18_NEG_UMETAB333_601A_B1.mzXML	Metarhizium_flavoviride_DSM_11337	YNP51	20230512	Ac-C18	NEG	601	Metarhizium	PDA	plate	14	GCA_051529335.1	92630|Metarhizium flavoviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
MSV000099370	Metarhizium_flavoviride_DSM_11337_YNP51_20230512_Ac-C18_NEG_UMETAB333_602A_B2.mzXML	Metarhizium_flavoviride_DSM_11337	YNP51	20230512	Ac-C18	NEG	602	Metarhizium	CMA	plate	14	GCA_051529335.1	92630|Metarhizium flavoviride	fungi	culture_fungal	Orbitrap ID-X|MS:1003112	electrospray ionization (negative)	5/12/2023
