MassiveID	filename	ATTRIBUTE_Strain	ATTRIBUTE_YnpID	ATTRIBUTE_Date	ATTRIBUTE_Method	ATTRIBUTE_Mode	ATTRIBUTE_ExperimentID	ATTRIBUTE_Media	ATTRIBUTE_CultureFormat	ATTRIBUTE_IncubationDays	NCBITaxonomy	IonizationSourceAndPolarity	MassSpectrometer	SampleCollectionDateandTime	NCBIGenome	SampleType	SampleTypeSub1	SampleExtractionMethod	ChromatographyAndPhase
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221013_Cyclosporines_POS_121_Plate1_35.mzXML	Beauveria_bassiana_MB199430	YNP3	20221013	Cyclosporin	POS	121	CMA	plate	22	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	10/13/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221013_Cyclosporines_POS_122_Plate1_36.mzXML	Beauveria_bassiana_MB199430	YNP3	20221013	Cyclosporin	POS	122	MEA	plate	19	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	10/13/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221013_Cyclosporines_POS_123_Plate1_37.mzXML	Beauveria_bassiana_MB199430	YNP3	20221013	Cyclosporin	POS	123	OA	plate	19	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	10/13/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221013_Cyclosporines_POS_124_Plate1_38.mzXML	Beauveria_bassiana_MB199430	YNP3	20221013	Cyclosporin	POS	124	PDA	plate	19	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	10/13/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221013_Cyclosporines_POS_87_Plate1_1.mzXML	Beauveria_bassiana_MB199430	YNP3	20221013	Cyclosporin	POS	87	PDA	plate	7	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	10/13/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221013_Cyclosporines_POS_88_Plate1_2.mzXML	Beauveria_bassiana_MB199430	YNP3	20221013	Cyclosporin	POS	88	CMA	plate	7	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	10/13/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221013_Cyclosporines_POS_89_Plate1_3.mzXML	Beauveria_bassiana_MB199430	YNP3	20221013	Cyclosporin	POS	89	MEA	plate	7	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	10/13/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221111_Bas70-C18_POS_UMETAB292_166.mzML	Beauveria_bassiana_MB199430	YNP3	20221111	Bas-C18	POS	166	PD	shake flask	10	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	11/11/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221111_Bas70-C18_POS_UMETAB292_167.mzML	Beauveria_bassiana_MB199430	YNP3	20221111	Bas-C18	POS	167	ME	shake flask	10	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	11/11/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221111_Bas70-C18_POS_UMETAB292_178.mzML	Beauveria_bassiana_MB199430	YNP3	20221111	Bas-C18	POS	178	PD myc	shake flask	10	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	11/11/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221111_Bas70-C18_POS_UMETAB292_179.mzML	Beauveria_bassiana_MB199430	YNP3	20221111	Bas-C18	POS	179	ME myc	shake flask	10	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	11/11/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221125_Ac-C18_POS_UMETAB297_255_E2.mzXML	Beauveria_bassiana_MB199430	YNP3	20221125	Ac-C18	POS	255	PD	24-well	10	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	11/25/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221125_Ac-C18_POS_UMETAB297_263_E10.mzXML	Beauveria_bassiana_MB199430	YNP3	20221125	Ac-C18	POS	263	ME	24-well	10	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	11/25/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Beauveria_bassiana_MB199430_YNP3_20221125_Bas70-C18_POS_UMETAB297_263_E10.mzXML	Beauveria_bassiana_MB199430	YNP3	20221125	Bas-C18	POS	263	ME	24-well	10	176275|Beauveria bassiana	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	11/25/2022	GCA_051527345.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230301_Ac-C18_POS_UMETAB315_374_G3.mzXML	Sarocladium_G79	YNP38	20230301	Ac-C18	POS	374	CMA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230301_Ac-C18_POS_UMETAB315_375_G4.mzXML	Sarocladium_G79	YNP38	20230301	Ac-C18	POS	375	PDA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230301_Ac-C18_POS_UMETAB315_376_G5.mzXML	Sarocladium_G79	YNP38	20230301	Ac-C18	POS	376	MEA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230301_Ac-C18_POS_UMETAB316_401_B6.mzML	Sarocladium_G79	YNP38	20230301	Ac-C18	POS	401	MEA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230301_Ac-C18_POS_UMETAB316_402_B7.mzML	Sarocladium_G79	YNP38	20230301	Ac-C18	POS	402	CMA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230301_Ac-C18_POS_UMETAB316_403_B8.mzML	Sarocladium_G79	YNP38	20230301	Ac-C18	POS	403	PDA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230309_Bas70-C18_POS_UMETAB315_374_G3.mzXML	Sarocladium_G79	YNP38	20230309	Bas-C18	POS	374	CMA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/9/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230309_Bas70-C18_POS_UMETAB315_375_G4.mzXML	Sarocladium_G79	YNP38	20230309	Bas-C18	POS	375	PDA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/9/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230309_Bas70-C18_POS_UMETAB315_376_G5.mzXML	Sarocladium_G79	YNP38	20230309	Bas-C18	POS	376	MEA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/9/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230310_Bas70-C18_POS_UMETAB315_374_G3.mzXML	Sarocladium_G79	YNP38	20230310	Bas-C18	POS	374	CMA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/10/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230310_Bas70-C18_POS_UMETAB315_375_G4.mzXML	Sarocladium_G79	YNP38	20230310	Bas-C18	POS	375	PDA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/10/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230310_Bas70-C18_POS_UMETAB315_376_G5.mzXML	Sarocladium_G79	YNP38	20230310	Bas-C18	POS	376	MEA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/10/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230512_Ac-C18_POS_UMETAB333_653A_F5.mzML	Sarocladium_G79	YNP38	20230512	Ac-C18	POS	653	PDA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230512_Ac-C18_POS_UMETAB333_654A_F6.mzML	Sarocladium_G79	YNP38	20230512	Ac-C18	POS	654	MEA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Sarocladium_G79_YNP38_20230512_Ac-C18_POS_UMETAB333_655A_F7.mzML	Sarocladium_G79	YNP38	20230512	Ac-C18	POS	655	CMA	plate	14	1949222|Scedosporium rarisporum	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527415.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230301_Ac-C18_POS_UMETAB315_351A_E4.mzML	Epichole_typhina_MB165057	YNP37	20230301	Ac-C18	POS	351	CMA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230301_Ac-C18_POS_UMETAB315_351A_E4.mzXML	Epichole_typhina_MB165057	YNP37	20230301	Ac-C18	POS	351	CMA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230301_Ac-C18_POS_UMETAB315_352A_E5.mzXML	Epichole_typhina_MB165057	YNP37	20230301	Ac-C18	POS	352	PDA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230301_Ac-C18_POS_UMETAB315_369_F10.mzML	Epichole_typhina_MB165057	YNP37	20230301	Ac-C18	POS	369	MEA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/1/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230309_Bas70-C18_POS_UMETAB315_351A_E4.mzXML	Epichole_typhina_MB165057	YNP37	20230309	Bas-C18	POS	351	CMA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/9/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230309_Bas70-C18_POS_UMETAB315_369_F10.mzXML	Epichole_typhina_MB165057	YNP37	20230309	Bas-C18	POS	369	MEA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/9/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230310_Bas70-C18_POS_UMETAB315_351A_E4.mzXML	Epichole_typhina_MB165057	YNP37	20230310	Bas-C18	POS	351	CMA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/10/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230310_Bas70-C18_POS_UMETAB315_369_F10.mzXML	Epichole_typhina_MB165057	YNP37	20230310	Bas-C18	POS	369	MEA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	3/10/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230509_Bas-C18_POS_UMETAB332_632_D8.mzXML	Epichole_typhina_MB165057	YNP37	20230509	Bas-C18	POS	632	PDA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230509_Bas-C18_POS_UMETAB332_633_D9.mzXML	Epichole_typhina_MB165057	YNP37	20230509	Bas-C18	POS	633	CMA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230509_Bas-C18_POS_UMETAB332_634_D10.mzXML	Epichole_typhina_MB165057	YNP37	20230509	Bas-C18	POS	634	MEA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230512_Ac-C18_POS_UMETAB333_632A_D8.mzXML	Epichole_typhina_MB165057	YNP37	20230512	Ac-C18	POS	632	PDA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230512_Ac-C18_POS_UMETAB333_633A_D9.mzXML	Epichole_typhina_MB165057	YNP37	20230512	Ac-C18	POS	633	CMA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Epichole_typhina_MB165057_YNP37_20230512_Ac-C18_POS_UMETAB333_634A_D10.mzXML	Epichole_typhina_MB165057	YNP37	20230512	Ac-C18	POS	634	MEA	plate	14	2943579|Typhina	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527435.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Claviceps_purpurea_3488_YNP36_20230509_Bas-C18_POS_UMETAB332_638_E2.mzXML	Claviceps_purpurea_3488	YNP36	20230509	Bas-C18	POS	638	CMA	plate	14	5111|Claviceps purpurea	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527455.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Claviceps_purpurea_3488_YNP36_20230509_Bas-C18_POS_UMETAB332_639_E3.mzXML	Claviceps_purpurea_3488	YNP36	20230509	Bas-C18	POS	639	MEA	plate	14	5111|Claviceps purpurea	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527455.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Claviceps_purpurea_3488_YNP36_20230509_Bas-C18_POS_UMETAB332_640_E4.mzXML	Claviceps_purpurea_3488	YNP36	20230509	Bas-C18	POS	640	PDA	plate	14	5111|Claviceps purpurea	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/9/2023	GCA_051527455.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Claviceps_purpurea_3488_YNP36_20230512_Ac-C18_POS_UMETAB333_638A_E2.mzXML	Claviceps_purpurea_3488	YNP36	20230512	Ac-C18	POS	638	CMA	plate	14	5111|Claviceps purpurea	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527455.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
MSV000099077	Claviceps_purpurea_3488_YNP36_20230512_Ac-C18_POS_UMETAB333_639A_E3.mzXML	Claviceps_purpurea_3488	YNP36	20230512	Ac-C18	POS	639	MEA	plate	14	5111|Claviceps purpurea	electrospray ionization (positive)	Orbitrap ID-X|MS:1003112	5/12/2023	GCA_051527455.1	fungi	culture_fungal	methanol-dichloromethane-ethyl acetate (1:2:3) + 0.1% formic acid	reverse phase (C18)
