MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_treatment
MSV000085142	carnitine_LI_B_Nov_m13.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Nov_m14.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Nov_m15.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Sept_m16.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Sept_m17.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Sept_m18.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Sept_m19.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_B_Sept_m20.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Nov_m11.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Nov_m12.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Nov_m13.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Nov_m14.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Nov_m15.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Sept_m16.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Sept_m17.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Sept_m18.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Sept_m19.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	carnitine_LI_C_Sept_m20.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	carnitine treatment
MSV000085142	uninfected_LI_A_Nov_m31.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_A_Nov_m32.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_A_Nov_m33.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_A_Nov_m34.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_A_Nov_m35.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_B_Nov_m31.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_B_Nov_m32.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_B_Nov_m33.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_B_Nov_m34.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_B_Nov_m35.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_C_Nov_m31.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_C_Nov_m32.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_C_Nov_m33.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_C_Nov_m34.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	uninfected_LI_C_Nov_m35.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	healthy	not applicable	not applicable	not applicable	no treatment
MSV000085142	vehicle_LI_A_Nov_m1.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Nov_m2.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Nov_m3.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Nov_m4.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Nov_m5.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Sept_m1.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Sept_m2.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Sept_m3.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Sept_m4.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_A_Sept_m5.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Nov_m1.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Nov_m2.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Nov_m3.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Nov_m4.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Nov_m5.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Sept_m1.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Sept_m2.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Sept_m3.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Sept_m4.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_B_Sept_m5.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Nov_m1.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Nov_m2.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Nov_m3.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Nov_m4.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Nov_m5.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Sept_m1.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Sept_m2.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Sept_m3.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Sept_m4.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	vehicle_LI_C_Sept_m5.mzML	tissue	10090|Mus musculus	Q Exactive Plus|MS:1002634	male	0.12	colon	acute illness	Chagas disease	not applicable	not applicable	vehicle control
MSV000085142	LI_pooledQC_end.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_mid.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_mid_191101172404.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_mid_191101192051.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_mid_191101211738.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_mid_191101231424.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_mid_191102011109.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_mid_191102030754.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_mid_191102050439.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_start1.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_start2.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_start3.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_start4.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	LI_pooledQC_start5.mzML	QC	QC	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_end.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_mid.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_mid_191101171547.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_mid_191101191234.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_mid_191101210921.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_mid_191101230607.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_mid_191102010252.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_mid_191102025937.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_mid_191102045622.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000085142	blank_start.mzML	blank	blank	Q Exactive Plus|MS:1002634	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
