MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_Diet	ATTRIBUTE_Antibiotics	ATTRIBUTE_ImmuneResponse	ATTRIBUTE_Detail
MSV000080918	Extraction solvent blank_RH11_01_7481.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7485.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7497.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7513.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7515.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7517.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7519.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7524.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7526.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7541.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7554.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7567.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7580.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7593.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7606.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7619.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7629.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7631.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7646.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7659.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7672.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7685.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7698.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7711.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7724.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7734.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7736.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7751.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7764.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7775.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7779.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7792.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7805.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7818.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	Extraction solvent blank_RH11_01_7827.mzML	blank	blank	impact HD|MS:1002667	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable	not applicable
MSV000080918	SS100_RA7_01_7424.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.6712328999999996E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, obesity, no IgA
MSV000080918	SS101_RA8_01_7425.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.3972602999999998E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, obesity, no IgA
MSV000080918	SS102_RA9_01_7426.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.3972602999999998E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, obesity, no IgA
MSV000080918	SS103_RA10_01_7427.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.8493151000000002E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	NASH, no IgA
MSV000080918	SS104_RA11_01_7428.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.3013699000000006E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	NASH, no IgA
MSV000080918	SS105_RA12_01_7429.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.3013699000000006E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	NASH, no IgA
MSV000080918	SS106_RB1_01_7431.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.3013699000000006E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	NASH, no IgA
MSV000080918	SS107_RB2_01_7432.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.101369863	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS108_RB3_01_7433.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	9.8630137000000007E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS109_RB4_01_7434.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS10_RA10_01_7316.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.3972602999999998E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	normal	NASH, obesity
MSV000080918	SS110_RB5_01_7435.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS111_RB6_01_7436.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS112_RB7_01_7437.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS113_RB8_01_7438.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS114_RB9_01_7439.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.120547945	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS115_RB10_01_7440.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.120547945	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS116_RB11_01_7441.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS117_RB12_01_7442.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS118_RC1_01_7444.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS119_RC2_01_7445.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS11_RA11_01_7317.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.8493151000000002E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	normal	NASH, lean
MSV000080918	SS120_RC3_01_7446.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12876712300000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS121_RC4_01_7447.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12876712300000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS122_RC5_01_7448.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12602739700000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS123_RC6_01_7449.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12602739700000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS124_RC7_01_7450.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12602739700000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS125_RC8_01_7451.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.136986301	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS126_RC9_01_7452.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13424657500000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS127_RC10_01_7453.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13424657500000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS128_RC11_01_7454.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13424657500000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS129_RC12_01_7455.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13424657500000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS12_RA12_01_7318.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.8493151000000002E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	normal	NASH, lean
MSV000080918	SS130_RD1_01_7457.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13150684900000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS131_RD2_01_7458.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13150684900000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS132_RD3_01_7459.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13150684900000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS133_RD4_01_7460.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13150684900000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS134_RD5_01_7461.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.139726027	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS135_RD6_01_7462.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.136986301	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS136_RD7_01_7463.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.136986301	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS137_RD8_01_7464.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.13150684900000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS138_RD9_01_7465.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12602739700000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS139_RD10_01_7466.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.136986301	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	NASH, HCC, no IgA
MSV000080918	SS13_RB1_01_7320.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.8493151000000002E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	normal	NASH, lean
MSV000080918	SS140_RD11_01_7467.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12876712300000001	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	NASH, adenomas, no IgA
MSV000080918	SS141_RD12_01_7468.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12876712300000001	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	NASH, adenomas, no IgA
MSV000080918	SS142_RE1_01_7470.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12876712300000001	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	NASH, adenomas, no IgA
MSV000080918	SS143_RE2_01_7471.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.3972602999999998E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS144_RE3_01_7472.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.6712328999999996E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS145_RE4_01_7473.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.3972602999999998E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS146_RE5_01_7474.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.1232877E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS147_RE6_01_7475.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.1232877E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS148_RE7_01_7476.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.3972602999999998E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	no IgA
MSV000080918	SS149_RE8_01_7478.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.3972602999999998E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	no IgA
MSV000080918	SS14_RB2_01_7322.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.120547945	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	normal	NASH, obesity, HCC
MSV000080918	SS150_RE9_01_7480.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	7.3972602999999998E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	no IgA
MSV000080918	SS151_RE10_01_7482.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.8493151000000002E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	no IgA
MSV000080918	SS152_RE11_01_7483.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	6.8493151000000002E-2	feces	chronic illness	obesity	not applicable	not applicable	Normal_Diet	No	no IgA	no IgA
MSV000080918	SS153_RE12_01_7484.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.12876712300000001	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS154_RF1_01_7486.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.101369863	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS155_RF2_01_7487.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	9.8630137000000007E-2	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS156_RF3_01_7488.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS157_RF4_01_7489.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS158_RF5_01_7490.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS159_RF6_01_7491.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS15_RB3_01_7323.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.120547945	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	normal	NASH, obesity, HCC
MSV000080918	SS160_RF7_01_7492.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS161_RF8_01_7493.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS162_RF9_01_7494.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.120547945	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS163_RF10_01_7495.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS164_RF11_01_7496.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
MSV000080918	SS165_RF12_01_7498.mzML	biofluid	10088|Mus	impact HD|MS:1002667	male	0.123287671	feces	chronic illness	obesity	not applicable	not applicable	High_Fat_Diet	No	no IgA	obese no IgA
