MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ATTRIBUTE_treatment	ATTRIBUTE_week
MSV000094560	LN_20230324_Cardon_8_11_77.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	8
MSV000094560	LN_20230324_Cardon_8_12_78.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
MSV000094560	LN_20230324_Cardon_8_13_79.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	8
MSV000094560	LN_20230324_Cardon_8_14_80.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
MSV000094560	LN_20230324_Cardon_8_15_81.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
MSV000094560	LN_20230324_Cardon_8_16_82.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	1/27/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	8
MSV000094560	LN_20230324_Cardon_10_2_52.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_10_3_53.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	10
MSV000094560	LN_20230324_Cardon_10_4_54.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_10_5_55.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	10
MSV000094560	LN_20230324_Cardon_10_6_56.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_10_7_57.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	10
MSV000094560	LN_20230324_Cardon_10_8_58.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_10_9_59.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	10
MSV000094560	LN_20230324_Cardon_10_10_60.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_10_11_61.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	10
MSV000094560	LN_20230324_Cardon_10_12_62.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_10_13_63.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	10
MSV000094560	LN_20230324_Cardon_10_14_64.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_10_15_65.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_10_16_66.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	02/17/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	10
MSV000094560	LN_20230324_Cardon_11_2_04.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
MSV000094560	LN_20230324_Cardon_11_3_05.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	11
MSV000094560	LN_20230324_Cardon_11_4_06.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
MSV000094560	LN_20230324_Cardon_11_5_07.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	11
MSV000094560	LN_20230324_Cardon_11_6_08.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
MSV000094560	LN_20230324_Cardon_11_7_09.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	11
MSV000094560	LN_20230324_Cardon_11_8_10.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
MSV000094560	LN_20230324_Cardon_11_9_11.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	11
MSV000094560	LN_20230324_Cardon_11_10_12.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
MSV000094560	LN_20230324_Cardon_11_11_13.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	11
MSV000094560	LN_20230324_Cardon_11_12_14.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
MSV000094560	LN_20230324_Cardon_11_13_15.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Uninfected	11
MSV000094560	LN_20230324_Cardon_11_14_16.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
MSV000094560	LN_20230324_Cardon_11_15_17.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
MSV000094560	LN_20230324_Cardon_11_16_18.mzML	environmental	dissolvedorganicmatter_soil	4498|Avena sativa	2023	liquid	Not Applicable	biotin	Orbitrap IQ-X|MS:1003411	electrospray ionization (positive)	reverse phase (porous graphitic carbon)	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	03/03/2022 10:00	United States of America	Not Applicable	Not Applicable	6	Not Applicable	MSV000094560_Not Applicable	Not Applicable	Not Applicable	Not Applicable	no rank	Environmental samples	Not Applicable	interstitial water	Infected	11
