MassiveID	filename	SampleType	NCBITaxonomy	MassSpectrometer	BiologicalSex	AgeInYears	UBERONBodyPartName	HealthStatus	DOIDCommonName	Ethnicity	SocialEconomicalStatus	ATTRIBUTE_timepoint	ATTRIBUTE_social_defeat	ATTRIBUTE_experimental_day	ATTRIBUTE_diet	ATTRIBUTE_circadian_disruption
MSV000082582	101_Prebiotic_CDR_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	CDR
MSV000082582	11_12_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	11_Prebiotic_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	NLD
MSV000082582	11_Prebiotic_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	NLD
MSV000082582	11_Prebiotic_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	NLD
MSV000082582	12_Prebiotic_CDR_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	CDR
MSV000082582	12_Prebiotic_CDR_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	CDR
MSV000082582	12_Prebiotic_CDR_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	CDR
MSV000082582	13_14_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	13_Control_CDR_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Control	CDR
MSV000082582	13_Control_CDR_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Control	CDR
MSV000082582	13_Control_CDR_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Control	CDR
MSV000082582	14_Control_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Control	NLD
MSV000082582	14_Control_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Control	NLD
MSV000082582	14_Control_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Control	NLD
MSV000082582	15_Prebiotic_CDR_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	CDR
MSV000082582	15_Prebiotic_CDR_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	CDR
MSV000082582	15_Prebiotic_CDR_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	CDR
MSV000082582	16_Prebiotic_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	NLD
MSV000082582	16_Prebiotic_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	NLD
MSV000082582	16_Prebiotic_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	NLD
MSV000082582	17_18_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	17_Control_CDR_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Control	CDR
MSV000082582	17_Control_CDR_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Control	CDR
MSV000082582	17_Control_CDR_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Control	CDR
MSV000082582	18_Control_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Control	NLD
MSV000082582	18_Control_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Control	NLD
MSV000082582	18_Control_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Control	NLD
MSV000082582	19_20_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	19_Prebiotic_CDR_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	CDR
MSV000082582	19_Prebiotic_CDR_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	CDR
MSV000082582	19_Prebiotic_CDR_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	CDR
MSV000082582	2_Control_CDR_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Control	CDR
MSV000082582	2_Control_CDR_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Control	CDR
MSV000082582	2_Control_CDR_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Control	CDR
MSV000082582	20_Prebiotic_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	NLD
MSV000082582	20_Prebiotic_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	NLD
MSV000082582	20_Prebiotic_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	NLD
MSV000082582	22_23_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	23_Control_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Control	NLD
MSV000082582	23_Control_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Control	NLD
MSV000082582	23_Control_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Control	NLD
MSV000082582	24_25_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	24_Prebiotic_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	NLD
MSV000082582	24_Prebiotic_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	NLD
MSV000082582	25_Prebiotic_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	NLD
MSV000082582	25_Prebiotic_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	NLD
MSV000082582	25_Prebiotic_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	NLD
MSV000082582	26_27_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	27_Control_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Control	NLD
MSV000082582	27_Control_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Control	NLD
MSV000082582	27_Control_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Control	NLD
MSV000082582	28_Prebiotic_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	NLD
MSV000082582	28_Prebiotic_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	NLD
MSV000082582	28_Prebiotic_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	NLD
MSV000082582	29_Prebiotic_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	NLD
MSV000082582	29_Prebiotic_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	NLD
MSV000082582	29_Prebiotic_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	NLD
MSV000082582	3_4_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	3_Prebiotic_CDR_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	CDR
MSV000082582	3_Prebiotic_CDR_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	CDR
MSV000082582	3_Prebiotic_CDR_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	CDR
MSV000082582	30_31_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	30_Control_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Control	NLD
MSV000082582	30_Control_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Control	NLD
MSV000082582	30_Control_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Control	NLD
MSV000082582	31_Control_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Control	NLD
MSV000082582	31_Control_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Control	NLD
MSV000082582	31_Control_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Control	NLD
MSV000082582	32_33_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	32_Prebiotic_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	NLD
MSV000082582	32_Prebiotic_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	NLD
MSV000082582	32_Prebiotic_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	NLD
MSV000082582	34_35_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	34_Prebiotic_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Control	NLD
MSV000082582	34_Prebiotic_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Control	NLD
MSV000082582	34_Prebiotic_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Control	NLD
MSV000082582	36_37_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	36_Prebiotic_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	NLD
MSV000082582	36_Prebiotic_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	NLD
MSV000082582	36_Prebiotic_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	NLD
MSV000082582	37_Prebiotic_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	NLD
MSV000082582	37_Prebiotic_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	NLD
MSV000082582	37_Prebiotic_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	NLD
MSV000082582	38_39_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	38_Control_NLD_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Control	NLD
MSV000082582	38_Control_NLD_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Control	NLD
MSV000082582	38_Control_NLD_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Control	NLD
MSV000082582	4_Prebiotic_NLD_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	NLD
MSV000082582	4_Prebiotic_NLD_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	NLD
MSV000082582	4_Prebiotic_NLD_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	NLD
MSV000082582	40_41_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	41_Prebiotic_CDR_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	CDR
MSV000082582	41_Prebiotic_CDR_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	CDR
MSV000082582	41_Prebiotic_CDR_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	CDR
MSV000082582	42_43_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	43_Control_CDR_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Control	CDR
MSV000082582	43_Control_CDR_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Control	CDR
MSV000082582	43_Control_CDR_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Control	CDR
MSV000082582	44_45_Prebiotic_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Prebiotic	not applicable
MSV000082582	44_Prebiotic_CDR_HC_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	HC	-1	Prebiotic	CDR
MSV000082582	44_Prebiotic_CDR_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Prebiotic	CDR
MSV000082582	44_Prebiotic_CDR_HC_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	HC	60	Prebiotic	CDR
MSV000082582	45_Prebiotic_CDR_SD_1.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.158904109589041	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	1	SD	-1	Prebiotic	CDR
MSV000082582	45_Prebiotic_CDR_SD_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	SD	41	Prebiotic	CDR
MSV000082582	45_Prebiotic_CDR_SD_3.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.326027397260274	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	3	SD	60	Prebiotic	CDR
MSV000082582	46_47_Control_0.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.0684931506849315	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	0	not applicable	-34	Control	not applicable
MSV000082582	46_Control_CDR_HC_2.mzML	biofluid	10116|Rattus norvegicus	Q Exactive|MS:1001911	male	0.273972602739726	feces	not applicable	circadian rhythm disorders	not applicable	not applicable	2	HC	41	Control	CDR
