MassiveID	filename	SampleType	YearOfAnalysis	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	Country	LatitudeandLongitude	ENVOEnvironmentMaterial	ATTRIBUTE_Zip
MSV000084355	P35_B6_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.46191|-97.2626	soil	73020.0
MSV000084355	P35_B7_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_B8_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_B9_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.51172|-97.1414	soil	73045.0
MSV000084355	P35_C1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.51389|-96.9064	soil	74855.0
MSV000084355	P35_C10_no_yes_yes_yes.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.51172|-97.1414	soil	73045.0
MSV000084355	P35_C11_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_C12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_C2_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.51172|-97.1414	soil	73045.0
MSV000084355	P35_C3_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.51172|-97.1414	soil	73045.0
MSV000084355	P35_C4_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.42624|-97.082	soil	74851.0
MSV000084355	P35_C5_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.51172|-97.1414	soil	73045.0
MSV000084355	P35_C6_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_C7_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.46191|-97.2626	soil	73020.0
MSV000084355	P35_C9_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_D1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.34024|-97.2005	soil	74857.0
MSV000084355	P35_D10_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.25819|-76.7202	soil	17036.0
MSV000084355	P35_D11_yes_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.16049|-76.794	soil	17319.0
MSV000084355	P35_D12_yes_no_yes_yes.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.30884|-75.5861	soil	19525.0
MSV000084355	P35_D2_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.98181|-95.8092	soil	74011.0
MSV000084355	P35_D3_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.25819|-76.7202	soil	17036.0
MSV000084355	P35_D4_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	36.8646|-76.0551	soil	23454.0
MSV000084355	P35_D5_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.9261|-78.7114	soil	27613.0
MSV000084355	P35_D6_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	33.41925|-86.7894	soil	35216.0
MSV000084355	P35_D7_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	38.69492|-121.272	soil	95610.0
MSV000084355	P35_D8_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.2371|-97.4079	soil	73071.0
MSV000084355	P35_D9_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.2371|-97.4079	soil	73071.0
MSV000084355	P35_E1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	36.2344|-80.2961	soil	27045.0
MSV000084355	P35_E10_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	43.34678|-124.106	soil	97420.0
MSV000084355	P35_E11_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	32.88112|-84.3332	soil	30286.0
MSV000084355	P35_E12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_E2_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	36.2344|-80.2961	soil	27045.0
MSV000084355	P35_E3_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	30.10026|-95.3565	soil	77386.0
MSV000084355	P35_E4_no_yes_yes_yes.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	38.69052|-121.466	soil	95673.0
MSV000084355	P35_E5_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.71962|-78.9072	soil	27502.0
MSV000084355	P35_E6_yes_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.95453|-78.9533	soil	27707.0
MSV000084355	P35_E7_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.2371|-97.4079	soil	73071.0
MSV000084355	P35_E8_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4215|-97.569	soil	73119.0
MSV000084355	P35_E9_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	32.88112|-84.3332	soil	30286.0
MSV000084355	P35_F1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_F11_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_F12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_F2_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.45877|-97.3458	soil	73130.0
MSV000084355	P35_F3_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_F4_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4215|-97.569	soil	73119.0
MSV000084355	P35_F5_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.45877|-97.3458	soil	73130.0
MSV000084355	P35_F6_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_F7_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_F8_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4215|-97.569	soil	73119.0
MSV000084355	P35_F9_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4215|-97.569	soil	73119.0
MSV000084355	P35_G1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_G10_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	43.80624|-91.1406	soil	54601.0
MSV000084355	P35_G11_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	33.41925|-86.7894	soil	35216.0
MSV000084355	P35_G12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	33.41925|-86.7894	soil	35216.0
MSV000084355	P35_G2_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4215|-97.569	soil	73119.0
MSV000084355	P35_G3_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4328|-97.5245	soil	73109.0
MSV000084355	P35_G4_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	28.01715|-82.4554	soil	33604.0
MSV000084355	P35_G5_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	28.01715|-82.4554	soil	33604.0
MSV000084355	P35_G6_no_no_yes_no.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P35_G7_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4215|-97.569	soil	73119.0
MSV000084355	P35_G8_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.4215|-97.569	soil	73119.0
MSV000084355	P35_G9_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.25819|-76.7202	soil	17036.0
MSV000084355	P35_H1_no_no_no_unknown_190919174403.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.16049|-76.794	soil	17319.0
MSV000084355	P35_H11_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P35_H12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	38.60427|-121.28	soil	95670.0
MSV000084355	P35_H2_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	27.89947|-80.6596	soil	32909.0
MSV000084355	P35_H4_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.51466|-74.3931	soil	8817.0
MSV000084355	P35_H5_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P35_H6_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P35_H7_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P35_H8_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P35_H9_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_A1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_A1_no_no_no_unknown_190919182402.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_A10_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_A11_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_A12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_A2_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_A3_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_A4_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_A4_no_no_no_unknown_190919185036.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_A5_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_A6_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_A6_no_no_no_unknown_190919190353.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_A9_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_B1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P36_B2_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_B3_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_B4_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P36_B5_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.02072|-94.3017	soil	64015.0
MSV000084355	P37_A1_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P37_A1_no_no_no_unknown_190919194348.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.18924|-75.4381	soil	19426.0
MSV000084355	P37_A10_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.00813|-82.6853	soil	43062.0
MSV000084355	P37_A11_yes_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	40.00813|-82.6853	soil	43062.0
MSV000084355	P37_A12_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	38.69052|-121.466	soil	95673.0
MSV000084355	P37_A12_no_no_no_unknown_190919175727.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	38.69052|-121.466	soil	95673.0
MSV000084355	P37_A2_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P37_A2_no_no_no_unknown_190919181045.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P37_A3_no_yes_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P37_A3_no_yes_no_unknown_190919205016.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	39.00941|-94.2565	soil	64014.0
MSV000084355	P37_A4_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	38.69492|-121.272	soil	95610.0
MSV000084355	P37_A5_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	30.10026|-95.3565	soil	77386.0
MSV000084355	P37_A6_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.71962|-78.9072	soil	27502.0
MSV000084355	P37_A7_no_no_no_unknown.mzXML	environmental	2019	sulfachloropyridazine	Q Exactive Plus|MS:1002634	electrospray ionization (positive)	reverse phase (C18)	United States of America	35.2371|-97.4079	soil	73071.0
