MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	DepthorAltitudeMeters	qiita_sample_name	UniqueSubjectID	LifeStage	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	filename_old	ATTRIBUTE_SampleCollectionMethod	ATTRIBUTE_practice_experiment	ATTRIBUTE_lifestage	ATTRIBUTE_treatment	ATTRIBUTE_biologicalreplicate	ATTRIBUTE_technicalreplicate
MSV000097754	Al_E_F4B_L_BR4_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F4B_L_BR4_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F4B_L_BR4_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F4B_L_BioRep4_TechRepB	Pipette	not applicable	Egg	Light	Female 4	B
MSV000097754	Al_E_F4C_L_BR4_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F4C_L_BR4_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F4C_L_BR4_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F4C_L_BioRep4_TechRepC	Pipette	not applicable	Egg	Light	Female 4	C
MSV000097754	Al_E_F5A_L_BR5_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F5A_L_BR5_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F5A_L_BR5_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F5A_L_BioRep5_TechRepA	Pipette	not applicable	Egg	Light	Female 5	A
MSV000097754	Al_E_F5B_L_BR5_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F5B_L_BR5_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F5B_L_BR5_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F5B_L_BioRep5_TechRepB	Pipette	not applicable	Egg	Light	Female 5	B
MSV000097754	Al_E_F5C_L_BR5_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F5C_L_BR5_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F5C_L_BR5_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F5C_L_BioRep5_TechRepC	Pipette	not applicable	Egg	Light	Female 5	C
MSV000097754	Al_E_F1A_D_BR1_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F1A_D_BR1_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F1A_D_BR1_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F1A_D_BioRep1_TechRepA	Pipette	not applicable	Egg	Dark	Female 1	A
MSV000097754	Al_E_F1B_D_BR1_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F1B_D_BR1_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F1B_D_BR1_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F1B_D_BioRep1_TechRepB	Pipette	not applicable	Egg	Dark	Female 1	B
MSV000097754	Al_E_F1C_D_BR1_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F1C_D_BR1_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F1C_D_BR1_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F1C_D_BioRep1_TechRepC	Pipette	not applicable	Egg	Dark	Female 1	C
MSV000097754	Al_E_F2A_D_BR2_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F2A_D_BR2_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F2A_D_BR2_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F2A_D_BioRep2_TechRepA	Pipette	not applicable	Egg	Dark	Female 2	A
MSV000097754	Al_E_F2B_D_BR2_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F2B_D_BR2_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F2B_D_BR2_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F2B_D_BioRep2_TechRepB	Pipette	not applicable	Egg	Dark	Female 2	B
MSV000097754	Al_E_F2C_D_BR2_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F2C_D_BR2_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F2C_D_BR2_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F2C_D_BioRep2_TechRepC	Pipette	not applicable	Egg	Dark	Female 2	C
MSV000097754	Al_E_F3C_D_BR3_TRC_R2.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F3A_D_BR3_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F3A_D_BR3_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F3C_D_BioRep3_TechRepA	Pipette	not applicable	Egg	Dark	Female 3	A
MSV000097754	Al_E_F3B_D_BR3_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F3B_D_BR3_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F3B_D_BR3_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F3A_D_BioRep3_TechRepB	Pipette	not applicable	Egg	Dark	Female 3	B
MSV000097754	Al_E_F3C_D_BR3_TRC_R1.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F3C_D_BR3_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F3C_D_BR3_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F3B_D_BioRep3_TechRepC	Pipette	not applicable	Egg	Dark	Female 3	C
MSV000097754	Al_E_F4A_D_BR4_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F4A_D_BR4_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F4A_D_BR4_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F4A_D_BioRep4_TechRepA	Pipette	not applicable	Egg	Dark	Female 4	A
MSV000097754	Al_E_F4B_D_BR4_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F4B_D_BR4_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F4B_D_BR4_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F4B_D_BioRep4_TechRepB	Pipette	not applicable	Egg	Dark	Female 4	B
MSV000097754	Al_E_F4C_D_BR4_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F4C_D_BR4_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F4C_D_BR4_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F4C_D_BioRep4_TechRepC	Pipette	not applicable	Egg	Dark	Female 4	C
MSV000097754	Al_E_F5A_D_BR5_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F5A_D_BR5_TRA	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F5A_D_BR5_TRA	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F5A_D_BioRep5_TechRepA	Pipette	not applicable	Egg	Dark	Female 5	A
MSV000097754	Al_E_F5B_D_BR5_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F5B_D_BR5_TRB	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F5B_D_BR5_TRB	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F5B_D_BioRep5_TechRepB	Pipette	not applicable	Egg	Dark	Female 5	B
MSV000097754	Al_E_F5C_D_BR5_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_E_F5C_D_BR5_TRC	0	female	Whole animal		healthy			2024-10-16	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_E_F5C_D_BR5_TRC	Egg			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_E_F5C_D_BioRep5_TechRepC	Pipette	not applicable	Egg	Dark	Female 5	C
MSV000097754	Al_L_F1A_L_BR1_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F1A_L_BR1_TRA	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F1A_L_BR1_TRA	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F1A_L_BioRep1_TechRepA	Pipette	not applicable	Larvae	Light	Female 1	A
MSV000097754	Al_L_F1B_L_BR1_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F1B_L_BR1_TRB	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F1B_L_BR1_TRB	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F1B_L_BioRep1_TechRepB	Pipette	not applicable	Larvae	Light	Female 1	B
MSV000097754	Al_L_F1C_L_BR1_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F1C_L_BR1_TRC	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F1C_L_BR1_TRC	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F1C_L_BioRep1_TechRepC	Pipette	not applicable	Larvae	Light	Female 1	C
MSV000097754	Al_L_F2A_L_BR2_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F2A_L_BR2_TRA	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F2A_L_BR2_TRA	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F2A_L_BioRep2_TechRepA	Pipette	not applicable	Larvae	Light	Female 2	A
MSV000097754	Al_L_F2B_L_BR2_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F2B_L_BR2_TRB	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F2B_L_BR2_TRB	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F2B_L_BioRep2_TechRepB	Pipette	not applicable	Larvae	Light	Female 2	B
MSV000097754	Al_L_F2C_L_BR2_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F2C_L_BR2_TRC	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F2C_L_BR2_TRC	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F2C_L_BioRep2_TechRepC	Pipette	not applicable	Larvae	Light	Female 2	C
MSV000097754	Al_L_F3A_L_BR3_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F3A_L_BR3_TRA	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F3A_L_BR3_TRA	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F3A_L_BioRep3_TechRepA	Pipette	not applicable	Larvae	Light	Female 3	A
MSV000097754	Al_L_F3B_L_BR3_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F3B_L_BR3_TRB	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F3B_L_BR3_TRB	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F3B_L_BioRep3_TechRepB	Pipette	not applicable	Larvae	Light	Female 3	B
MSV000097754	Al_L_F3C_L_BR3_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F3C_L_BR3_TRC	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F3C_L_BR3_TRC	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F3C_L_BioRep3_TechRepC	Pipette	not applicable	Larvae	Light	Female 3	C
MSV000097754	Al_L_F4A_L_BR4_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F4A_L_BR4_TRA	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F4A_L_BR4_TRA	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F4A_L_BioRep4_TechRepA	Pipette	not applicable	Larvae	Light	Female 4	A
MSV000097754	Al_L_F4B_L_BR4_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F4B_L_BR4_TRB	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F4B_L_BR4_TRB	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F4B_L_BioRep4_TechRepB	Pipette	not applicable	Larvae	Light	Female 4	B
MSV000097754	Al_L_F4C_L_BR4_TRC.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F4C_L_BR4_TRC	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F4C_L_BR4_TRC	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F4C_L_BioRep4_TechRepC	Pipette	not applicable	Larvae	Light	Female 4	C
MSV000097754	Al_L_F1A_D_BR1_TRA.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F1A_D_BR1_TRA	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F1A_D_BR1_TRA	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F1A_D_BioRep1_TechRepA	Pipette	not applicable	Larvae	Dark	Female 1	A
MSV000097754	Al_L_F1B_D_BR1_TRB.mzML	animal	marine_invertebrates	7640|Arbacia lixula	2025	solid material, frozen	methanol-water (1:1)	sulfadimethoxine	Orbitrap Exploris 240|MS:1003094	electrospray ionization (positive)	reverse phase (polar-C18)	Al_L_F1B_D_BR1_TRB	0.011	female	Whole animal		healthy			2024-10-21	Spain		28.401442, -16.324132	1 m		MSV000097754_Al_L_F1B_D_BR1_TRB	Larvae			species	Invertebrate	marine pelagic biome	ENVO:01000023			Al_L_F1B_D_BioRep1_TechRepB	Pipette	not applicable	Larvae	Dark	Female 1	B
