MassiveID	filename	SampleType	SampleTypeSub1	NCBITaxonomy	YearOfAnalysis	SampleCollectionMethod	SampleExtractionMethod	InternalStandardsUsed	MassSpectrometer	IonizationSourceAndPolarity	ChromatographyAndPhase	SubjectIdentifierAsRecorded	AgeInYears	BiologicalSex	UBERONBodyPartName	TermsofPosition	HealthStatus	DOIDCommonName	ComorbidityListDOIDIndex	SampleCollectionDateandTime	Country	HumanPopulationDensity	LatitudeandLongitude	Depth_Meters	DepthorAltitudeMeters	ENVOBroadScale	ENVOLocalScale	ENVOMediumScale	UBERONOntologyIndex	DOIDOntologyIndex	NCBIRank	NCBIDivision	ENVOEnvironmentBiome	ENVOEnvironmentMaterial	ENVOEnvironmentBiomeIndex	ENVOEnvironmentMaterialIndex	rowid	id
MSV000092347	FE_SA_i.mzXML	algae		87147|Fucus evanescens	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									11	10
MSV000092347	FE_SA_ii.mzXML	algae		87147|Fucus evanescens	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									12	11
MSV000092347	FE_SA_iii.mzXML	algae		87147|Fucus evanescens	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									13	12
MSV000092347	FE_SA_iv.mzXML	algae		87147|Fucus evanescens	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									14	13
MSV000092347	FE_SD_i.mzXML	algae		87147|Fucus evanescens	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									15	14
MSV000092347	FE_SD_ii.mzXML	algae		87147|Fucus evanescens	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									16	15
MSV000092347	FE_SD_iii.mzXML	algae		87147|Fucus evanescens	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									17	16
MSV000092347	FE_SD_iv.mzXML	algae		87147|Fucus evanescens	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									18	17
MSV000092347	FE_SFA_III_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									19	18
MSV000092347	FE_SFA_III_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									20	19
MSV000092347	FE_SFA_II_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									21	20
MSV000092347	FE_SFA_II_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									22	21
MSV000092347	FE_SFA_IV_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									23	22
MSV000092347	FE_SFA_IV_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									24	23
MSV000092347	FE_SFA_I_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									25	24
MSV000092347	FE_SFA_I_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									26	25
MSV000092347	FE_SFA_V_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									27	26
MSV000092347	FE_SFA_V_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									28	27
MSV000092347	FE_SFD_III_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									29	28
MSV000092347	FE_SFD_III_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									30	29
MSV000092347	FE_SFD_II_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									31	30
MSV000092347	FE_SFD_II_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									32	31
MSV000092347	FE_SFD_IV_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									33	32
MSV000092347	FE_SFD_IV_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									34	33
MSV000092347	FE_SFD_I_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									35	34
MSV000092347	FE_SFD_I_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									36	35
MSV000092347	FE_SFD_V_a.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									37	36
MSV000092347	FE_SFD_V_b.mzXML	algae		87147|Fucus evanescens	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									38	37
MSV000092347	FSW_III_a.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									39	38
MSV000092347	FSW_III_b.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									40	39
MSV000092347	FSW_II_a.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									41	40
MSV000092347	FSW_II_b.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									42	41
MSV000092347	FSW_IV_a.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									43	42
MSV000092347	FSW_IV_b.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									44	43
MSV000092347	FSW_I_a.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									45	44
MSV000092347	FSW_I_b.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									46	45
MSV000092347	FSW_V_a.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									47	46
MSV000092347	FSW_V_b.mzXML	algae		87148|Fucus serratus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									48	47
MSV000092347	FS_SA_i.mzXML	algae		87148|Fucus serratus	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									49	48
MSV000092347	FS_SA_ii.mzXML	algae		87148|Fucus serratus	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									50	49
MSV000092347	FS_SA_iii.mzXML	algae		87148|Fucus serratus	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									51	50
MSV000092347	FS_SA_iv.mzXML	algae		87148|Fucus serratus	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									52	51
MSV000092347	FS_SD_i.mzXML	algae		87148|Fucus serratus	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									53	52
MSV000092347	FS_SD_ii.mzXML	algae		87148|Fucus serratus	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									54	53
MSV000092347	FS_SD_iii.mzXML	algae		87148|Fucus serratus	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									55	54
MSV000092347	FS_SD_iv.mzXML	algae		87148|Fucus serratus	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									56	55
MSV000092347	FS_SFA_III_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									57	56
MSV000092347	FS_SFA_III_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									58	57
MSV000092347	FS_SFA_II_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									59	58
MSV000092347	FS_SFA_II_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									60	59
MSV000092347	FS_SFA_IV_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									61	60
MSV000092347	FS_SFA_IV_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									62	61
MSV000092347	FS_SFA_I_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									63	62
MSV000092347	FS_SFA_I_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									64	63
MSV000092347	FS_SFA_V_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									65	64
MSV000092347	FS_SFA_V_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after adsorption	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									66	65
MSV000092347	FS_SFD_III_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									67	66
MSV000092347	FS_SFD_III_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									68	67
MSV000092347	FS_SFD_II_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									69	68
MSV000092347	FS_SFD_II_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									70	69
MSV000092347	FS_SFD_IV_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									71	70
MSV000092347	FS_SFD_IV_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									72	71
MSV000092347	FS_SFD_I_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									73	72
MSV000092347	FS_SFD_I_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									74	73
MSV000092347	FS_SFD_V_a.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									75	74
MSV000092347	FS_SFD_V_b.mzXML	algae		87148|Fucus serratus	2022	surface-removed (internal), after dipping	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	1	1	Marine biome		Algal material									76	75
MSV000092347	FVW_III_a.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									77	76
MSV000092347	FVW_III_b.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									78	77
MSV000092347	FVW_II_a.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									79	78
MSV000092347	FVW_II_b.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									80	79
MSV000092347	FVW_IV_a.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									81	80
MSV000092347	FVW_IV_b.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									82	81
MSV000092347	FVW_I_a.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									83	82
MSV000092347	FVW_I_b.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									84	83
MSV000092347	FVW_V_a.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									85	84
MSV000092347	FVW_V_b.mzXML	algae		49266|Fucus vesiculosus	2022	whole organism	dichloromethane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									86	85
MSV000092347	FV_SA_i.mzXML	algae		49266|Fucus vesiculosus	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									87	86
MSV000092347	FV_SA_ii.mzXML	algae		49266|Fucus vesiculosus	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									88	87
MSV000092347	FV_SA_iii.mzXML	algae		49266|Fucus vesiculosus	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									89	88
MSV000092347	FV_SA_iv.mzXML	algae		49266|Fucus vesiculosus	2022	surface, solid-phase adsorption (C18)	methanol (100%)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									90	89
MSV000092347	FV_SD_i.mzXML	algae		49266|Fucus vesiculosus	2022	surface, solvent dipping	hexane-methanol (1:1)		Xevo G2-S QTof|MS:1002276	electrospray ionization (negative)	reverse phase (C18)									07-19	Germany		54.454333|10.198611	0.5	0.5	Marine biome		Algal material									91	90
